,GCA_024169515.1,GCA_918698235.1,GCA_014773485.1
Cluster_888,OCILAMFM_03303,,
Cluster_889,OCILAMFM_03110,LBGCNHPF_01288,OEIEKCCN_00753
Cluster_890,,LBGCNHPF_03670,OEIEKCCN_00984
Cluster_891,OCILAMFM_03621,LBGCNHPF_00393,OEIEKCCN_01216
Cluster_892,OCILAMFM_03651,LBGCNHPF_00363,OEIEKCCN_01246
Cluster_893,,,OEIEKCCN_02102
Cluster_894,OCILAMFM_00980,LBGCNHPF_02158,OEIEKCCN_02731
Cluster_895,OCILAMFM_00761,LBGCNHPF_03882,OEIEKCCN_02937
Cluster_896,OCILAMFM_04109,LBGCNHPF_03478,OEIEKCCN_03751
Cluster_897,OCILAMFM_03644,LBGCNHPF_00370,OEIEKCCN_01239
Cluster_898,OCILAMFM_00004,LBGCNHPF_02441,OEIEKCCN_02134
Cluster_899,OCILAMFM_01071,LBGCNHPF_02067,OEIEKCCN_02640
Cluster_900,OCILAMFM_02700,LBGCNHPF_03027,OEIEKCCN_03325
Cluster_901,OCILAMFM_01522,LBGCNHPF_02820,OEIEKCCN_04559
Cluster_902,OCILAMFM_00190,,
Cluster_903,OCILAMFM_01606,LBGCNHPF_03322,OEIEKCCN_00098
Cluster_904,OCILAMFM_03647,LBGCNHPF_00367,OEIEKCCN_01242
Cluster_905,OCILAMFM_02678,LBGCNHPF_03050,OEIEKCCN_03348
Cluster_906,OCILAMFM_04400,LBGCNHPF_04102,OEIEKCCN_00316
Cluster_907,OCILAMFM_03263,LBGCNHPF_01184,OEIEKCCN_00857
Cluster_908,OCILAMFM_03280,LBGCNHPF_01167,OEIEKCCN_00874
Cluster_909,OCILAMFM_00011,LBGCNHPF_02448,OEIEKCCN_02141
Cluster_910,OCILAMFM_03173,LBGCNHPF_01276,OEIEKCCN_00765
Cluster_911,OCILAMFM_03377,LBGCNHPF_03639,OEIEKCCN_00951
Cluster_912,OCILAMFM_03675,LBGCNHPF_00340,OEIEKCCN_01269
Cluster_913,OCILAMFM_02227,LBGCNHPF_00943,OEIEKCCN_01679
Cluster_914,OCILAMFM_00013,LBGCNHPF_02450,OEIEKCCN_02143
Cluster_915,OCILAMFM_00086,LBGCNHPF_02514,OEIEKCCN_02207
Cluster_916,OCILAMFM_00377,LBGCNHPF_01806,OEIEKCCN_02473
Cluster_917,OCILAMFM_01121,LBGCNHPF_02017,OEIEKCCN_02590
Cluster_918,OCILAMFM_01559,LBGCNHPF_02853,OEIEKCCN_04592
Cluster_919,OCILAMFM_overlap_1;OCILAMFM_overlap_2;OCILAMFM_overlap_3;OCILAMFM_overlap_4;OCILAMFM_overlap_5;OCILAMFM_overlap_6_stop;OCILAMFM_overlap_7;OCILAMFM_overlap_8,LBGCNHPF_04083,
Cluster_920,OCILAMFM_01554,,
Cluster_921,OCILAMFM_01655,LBGCNHPF_03370,OEIEKCCN_00051
Cluster_922,OCILAMFM_00543,LBGCNHPF_01937,OEIEKCCN_00410
Cluster_923,OCILAMFM_03487,LBGCNHPF_00559,OEIEKCCN_01071
Cluster_924,OCILAMFM_03627,LBGCNHPF_00387,OEIEKCCN_01222
Cluster_925,,,OEIEKCCN_02101
Cluster_926,OCILAMFM_01025,LBGCNHPF_02113,OEIEKCCN_02686
Cluster_927,OCILAMFM_02754,LBGCNHPF_02972,OEIEKCCN_03270
Cluster_928,,,OEIEKCCN_04227
Cluster_929,OCILAMFM_01499,LBGCNHPF_02796,OEIEKCCN_04535
Cluster_930,OCILAMFM_01169,LBGCNHPF_04385,OEIEKCCN_00531
Cluster_931,OCILAMFM_03092,LBGCNHPF_01301,OEIEKCCN_00740
Cluster_932,OCILAMFM_01936,LBGCNHPF_00704,OEIEKCCN_01918
Cluster_933,OCILAMFM_00495,,
Cluster_934,OCILAMFM_03775,LBGCNHPF_00245,OEIEKCCN_01368;OEIEKCCN_03932
Cluster_935,OCILAMFM_01700,LBGCNHPF_03412,OEIEKCCN_00009
Cluster_936,OCILAMFM_01595,LBGCNHPF_03311,OEIEKCCN_00109
Cluster_937,OCILAMFM_00785,LBGCNHPF_03906,OEIEKCCN_02913
Cluster_938,OCILAMFM_02571,LBGCNHPF_03158,OEIEKCCN_03455
Cluster_939,OCILAMFM_03919,LBGCNHPF_00107,OEIEKCCN_04087;OEIEKCCN_03530
Cluster_940,OCILAMFM_04002,LBGCNHPF_00024,OEIEKCCN_03613;OEIEKCCN_04170
Cluster_941,,LBGCNHPF_04135,OEIEKCCN_00351
Cluster_942,OCILAMFM_00388,LBGCNHPF_01816,OEIEKCCN_02483
Cluster_943,,,OEIEKCCN_03681
Cluster_944,OCILAMFM_04097,LBGCNHPF_03466,OEIEKCCN_03739
Cluster_945,OCILAMFM_01557,LBGCNHPF_02851,OEIEKCCN_04590
Cluster_946,,LBGCNHPF_04194,
Cluster_947,,LBGCNHPF_04200,
Cluster_948,,LBGCNHPF_04219,
Cluster_949,,LBGCNHPF_04227,
Cluster_950,,LBGCNHPF_04233,
Cluster_951,,LBGCNHPF_04306,
Cluster_952,OCILAMFM_03501,LBGCNHPF_00545,OEIEKCCN_01085
Cluster_953,,LBGCNHPF_00732,OEIEKCCN_01890
Cluster_954,OCILAMFM_04221,LBGCNHPF_02391,OEIEKCCN_02085
Cluster_955,,LBGCNHPF_03124,OEIEKCCN_03421
Cluster_956,OCILAMFM_02596,LBGCNHPF_03133,OEIEKCCN_03430
Cluster_957,OCILAMFM_04028,,OEIEKCCN_03650
Cluster_958,OCILAMFM_01615,LBGCNHPF_03331,OEIEKCCN_00089
Cluster_959,OCILAMFM_02544,LBGCNHPF_03732,OEIEKCCN_00209
Cluster_960,OCILAMFM_03499,LBGCNHPF_00547,OEIEKCCN_01083
Cluster_961,OCILAMFM_00650,LBGCNHPF_03255,OEIEKCCN_03043
Cluster_962,OCILAMFM_01526,LBGCNHPF_02824,OEIEKCCN_04563
Cluster_963,OCILAMFM_00597,LBGCNHPF_03196,OEIEKCCN_00474
Cluster_964,OCILAMFM_03569,LBGCNHPF_00476,OEIEKCCN_01154
Cluster_965,OCILAMFM_02304,LBGCNHPF_01031,OEIEKCCN_01597
Cluster_966,OCILAMFM_04126,LBGCNHPF_03495,OEIEKCCN_03830
Cluster_967,OCILAMFM_02564,,
Cluster_968,OCILAMFM_04438,LBGCNHPF_04144,OEIEKCCN_00360
Cluster_969,OCILAMFM_02162,LBGCNHPF_00888,OEIEKCCN_01734
Cluster_970,OCILAMFM_02763,LBGCNHPF_02963,OEIEKCCN_03261
Cluster_971,,LBGCNHPF_01649,
Cluster_972,,LBGCNHPF_04482,
Cluster_973,OCILAMFM_00578,LBGCNHPF_01978,OEIEKCCN_00451
Cluster_974,OCILAMFM_02353,LBGCNHPF_01080,OEIEKCCN_01548
Cluster_975,OCILAMFM_02263,LBGCNHPF_00985,OEIEKCCN_01643
Cluster_976,OCILAMFM_00110,LBGCNHPF_02538,OEIEKCCN_02231
Cluster_977,OCILAMFM_00661,LBGCNHPF_03266,OEIEKCCN_03032
Cluster_978,OCILAMFM_02936,LBGCNHPF_01467,OEIEKCCN_03086
Cluster_979,OCILAMFM_02753,LBGCNHPF_02973,OEIEKCCN_03271
Cluster_980,OCILAMFM_02059,LBGCNHPF_00832,OEIEKCCN_01790
Cluster_981,OCILAMFM_01834,LBGCNHPF_00602,OEIEKCCN_02018
Cluster_982,OCILAMFM_00005,LBGCNHPF_02442,OEIEKCCN_02135
Cluster_983,OCILAMFM_00301,LBGCNHPF_01738,OEIEKCCN_02405
Cluster_984,OCILAMFM_00427,LBGCNHPF_01855,OEIEKCCN_02522
Cluster_985,OCILAMFM_02572,LBGCNHPF_03157,OEIEKCCN_03454
Cluster_986,OCILAMFM_01359,LBGCNHPF_02648,OEIEKCCN_04341
Cluster_987,OCILAMFM_03167,,
Cluster_988,OCILAMFM_02422,LBGCNHPF_03980,OEIEKCCN_01483
Cluster_989,,LBGCNHPF_00717,OEIEKCCN_01905
Cluster_990,OCILAMFM_01888,LBGCNHPF_00657,OEIEKCCN_01964
Cluster_991,OCILAMFM_01148,LBGCNHPF_01991,OEIEKCCN_02564
Cluster_992,OCILAMFM_01575,LBGCNHPF_02870,OEIEKCCN_04609
Cluster_993,OCILAMFM_01763,LBGCNHPF_04059,OEIEKCCN_00241
Cluster_994,OCILAMFM_01733,LBGCNHPF_04030,OEIEKCCN_00270
Cluster_995,OCILAMFM_04425,LBGCNHPF_04086,OEIEKCCN_00300
Cluster_996,OCILAMFM_03748,LBGCNHPF_00272,OEIEKCCN_03907;OEIEKCCN_01343
Cluster_997,,LBGCNHPF_00731,OEIEKCCN_01891
Cluster_998,OCILAMFM_04046,,OEIEKCCN_03669
Cluster_999,OCILAMFM_01255,LBGCNHPF_03577,OEIEKCCN_04444
Cluster_1000,OCILAMFM_03014,LBGCNHPF_01381,OEIEKCCN_00662
Cluster_1001,OCILAMFM_02177,LBGCNHPF_00903,OEIEKCCN_01719
Cluster_1002,OCILAMFM_02024,LBGCNHPF_00797,OEIEKCCN_01825
Cluster_1003,OCILAMFM_01871,LBGCNHPF_00640,OEIEKCCN_01981
Cluster_1004,,LBGCNHPF_02371,OEIEKCCN_02064
Cluster_1005,OCILAMFM_00712,,
Cluster_1006,OCILAMFM_03546,LBGCNHPF_00500,OEIEKCCN_01130
Cluster_1007,OCILAMFM_03810,LBGCNHPF_00218,OEIEKCCN_03960;OEIEKCCN_01395
Cluster_1008,OCILAMFM_03861,LBGCNHPF_00165,OEIEKCCN_01448;OEIEKCCN_04013
Cluster_1009,OCILAMFM_02061,LBGCNHPF_00834,OEIEKCCN_01788
Cluster_1010,OCILAMFM_04251,LBGCNHPF_02423,OEIEKCCN_02116
Cluster_1011,OCILAMFM_00146,LBGCNHPF_02571,OEIEKCCN_02263
Cluster_1012,OCILAMFM_01282,LBGCNHPF_03603,OEIEKCCN_04418
Cluster_1013,OCILAMFM_01490,LBGCNHPF_02785,OEIEKCCN_04524
Cluster_1014,OCILAMFM_04405,,
Cluster_1015,OCILAMFM_03656,LBGCNHPF_00358,OEIEKCCN_01251
Cluster_1016,OCILAMFM_02390,LBGCNHPF_03948,OEIEKCCN_01515
Cluster_1017,,,OEIEKCCN_02035
Cluster_1018,OCILAMFM_00233,LBGCNHPF_01615,OEIEKCCN_02338
Cluster_1019,OCILAMFM_02740,LBGCNHPF_02985,OEIEKCCN_03283
Cluster_1020,,LBGCNHPF_02788,OEIEKCCN_04527
Cluster_1021,,LBGCNHPF_02410,
Cluster_1022,OCILAMFM_01686,LBGCNHPF_03398,OEIEKCCN_00023
Cluster_1023,OCILAMFM_03389,LBGCNHPF_03659,OEIEKCCN_00971
Cluster_1024,OCILAMFM_02041,LBGCNHPF_00814,OEIEKCCN_01808
Cluster_1025,OCILAMFM_01938,LBGCNHPF_00706,OEIEKCCN_01916
Cluster_1026,OCILAMFM_00420,LBGCNHPF_01848,OEIEKCCN_02515
Cluster_1027,OCILAMFM_01065,LBGCNHPF_02073,OEIEKCCN_02646
Cluster_1028,OCILAMFM_00794,LBGCNHPF_03914,OEIEKCCN_02905
Cluster_1029,OCILAMFM_00697,LBGCNHPF_03302,OEIEKCCN_02996
Cluster_1030,OCILAMFM_03879,LBGCNHPF_00147,OEIEKCCN_03491;OEIEKCCN_04048
Cluster_1031,OCILAMFM_04040,,OEIEKCCN_03662
Cluster_1032,OCILAMFM_01782,LBGCNHPF_04078,OEIEKCCN_00222
Cluster_1033,OCILAMFM_01179,LBGCNHPF_04375,OEIEKCCN_00541
Cluster_1034,OCILAMFM_03820,LBGCNHPF_00208,OEIEKCCN_01405;OEIEKCCN_03970
Cluster_1035,OCILAMFM_04144,LBGCNHPF_03513,OEIEKCCN_03848
Cluster_1036,OCILAMFM_02113,,
Cluster_1037,OCILAMFM_03365,,
Cluster_1038,OCILAMFM_03102,LBGCNHPF_01296,OEIEKCCN_00745
Cluster_1039,OCILAMFM_01884,LBGCNHPF_00653,OEIEKCCN_01968
Cluster_1040,OCILAMFM_03971,LBGCNHPF_00055,OEIEKCCN_04139;OEIEKCCN_03582
Cluster_1041,OCILAMFM_01422,LBGCNHPF_02703,OEIEKCCN_04286
Cluster_1042,OCILAMFM_00445,LBGCNHPF_01872,OEIEKCCN_02539
Cluster_1043,OCILAMFM_02477,LBGCNHPF_03797,OEIEKCCN_00143
Cluster_1044,OCILAMFM_04178,,
Cluster_1045,OCILAMFM_03447,LBGCNHPF_00597,OEIEKCCN_01034
Cluster_1046,OCILAMFM_00795,LBGCNHPF_03915,OEIEKCCN_02904
Cluster_1047,OCILAMFM_03035,LBGCNHPF_01360,OEIEKCCN_00683
Cluster_1048,OCILAMFM_03265,LBGCNHPF_01182,OEIEKCCN_00859
Cluster_1049,OCILAMFM_03805,LBGCNHPF_00223,OEIEKCCN_01390;OEIEKCCN_03955
Cluster_1050,OCILAMFM_02220,LBGCNHPF_00936,OEIEKCCN_01686
Cluster_1051,OCILAMFM_01851,LBGCNHPF_00620,OEIEKCCN_02001
Cluster_1052,OCILAMFM_00824,LBGCNHPF_02318,OEIEKCCN_02877
Cluster_1053,OCILAMFM_04066,LBGCNHPF_03430,OEIEKCCN_03704
Cluster_1054,OCILAMFM_03769,LBGCNHPF_00251,OEIEKCCN_03926;OEIEKCCN_01362
Cluster_1055,OCILAMFM_01996,LBGCNHPF_00769,OEIEKCCN_01853
Cluster_1056,OCILAMFM_00373,LBGCNHPF_01802,OEIEKCCN_02469
Cluster_1057,OCILAMFM_00847,LBGCNHPF_02293,OEIEKCCN_02852
Cluster_1058,,LBGCNHPF_03927,
Cluster_1059,OCILAMFM_00249,,
Cluster_1060,OCILAMFM_02092,,
Cluster_1061,OCILAMFM_03767,LBGCNHPF_00253,OEIEKCCN_03924;OEIEKCCN_01360
Cluster_1062,OCILAMFM_02306,LBGCNHPF_01033,OEIEKCCN_01595
Cluster_1063,OCILAMFM_01908,LBGCNHPF_00677,OEIEKCCN_01944
Cluster_1064,OCILAMFM_00883,LBGCNHPF_02261,OEIEKCCN_02820
Cluster_1065,OCILAMFM_00727,LBGCNHPF_03848,OEIEKCCN_02970
Cluster_1066,OCILAMFM_00642,LBGCNHPF_03247,OEIEKCCN_03051
Cluster_1067,OCILAMFM_04140,LBGCNHPF_03509,OEIEKCCN_03844
Cluster_1068,OCILAMFM_01296,LBGCNHPF_03618,OEIEKCCN_04404
Cluster_1069,OCILAMFM_01998,LBGCNHPF_00771,OEIEKCCN_01851
Cluster_1070,OCILAMFM_02568,LBGCNHPF_03161,OEIEKCCN_03458
Cluster_1071,OCILAMFM_01541,LBGCNHPF_02837,OEIEKCCN_04576
Cluster_1072,OCILAMFM_01539,LBGCNHPF_02835,OEIEKCCN_frag_04573_04574
Cluster_1073,,,OEIEKCCN_00331
Cluster_1074,OCILAMFM_00231,LBGCNHPF_01613,OEIEKCCN_02336
Cluster_1075,OCILAMFM_01010,LBGCNHPF_02128,OEIEKCCN_02701
Cluster_1076,OCILAMFM_01551,LBGCNHPF_02848,OEIEKCCN_04587
Cluster_1077,OCILAMFM_01926,,
Cluster_1078,OCILAMFM_01647,LBGCNHPF_03362,OEIEKCCN_00059
Cluster_1079,OCILAMFM_03762,LBGCNHPF_00258,OEIEKCCN_01357;OEIEKCCN_03921
Cluster_1080,OCILAMFM_04228,LBGCNHPF_02399,OEIEKCCN_02092
Cluster_1081,OCILAMFM_01552,LBGCNHPF_02849,OEIEKCCN_04588
Cluster_1082,OCILAMFM_04429,,
Cluster_1083,OCILAMFM_03239,LBGCNHPF_01210,OEIEKCCN_00831
Cluster_1084,OCILAMFM_03275,LBGCNHPF_01172,OEIEKCCN_00869
Cluster_1085,OCILAMFM_02258,LBGCNHPF_00980,OEIEKCCN_01648
Cluster_1086,OCILAMFM_01897,LBGCNHPF_00666,OEIEKCCN_01955
Cluster_1087,OCILAMFM_01821,LBGCNHPF_04433,OEIEKCCN_02031
Cluster_1088,OCILAMFM_00278,LBGCNHPF_01715,OEIEKCCN_02382
Cluster_1089,OCILAMFM_00922,LBGCNHPF_02227,OEIEKCCN_02786
Cluster_1090,OCILAMFM_02657,LBGCNHPF_03071,OEIEKCCN_03369
Cluster_1091,OCILAMFM_02605,LBGCNHPF_03122,OEIEKCCN_03419
Cluster_1092,OCILAMFM_01515,LBGCNHPF_02812,OEIEKCCN_04551
Cluster_1093,OCILAMFM_02111,,
Cluster_1094,OCILAMFM_03148,,
Cluster_1095,OCILAMFM_00580,LBGCNHPF_01980,OEIEKCCN_00453
Cluster_1096,OCILAMFM_03388,LBGCNHPF_03658,OEIEKCCN_00970
Cluster_1097,OCILAMFM_03519,LBGCNHPF_00527,OEIEKCCN_01103
Cluster_1098,OCILAMFM_02435,LBGCNHPF_03993,OEIEKCCN_01470
Cluster_1099,OCILAMFM_01967,LBGCNHPF_00748,OEIEKCCN_01874
Cluster_1100,OCILAMFM_04128,LBGCNHPF_03497,OEIEKCCN_03832
Cluster_1101,OCILAMFM_00250,,
Cluster_1102,OCILAMFM_00219,LBGCNHPF_01601,OEIEKCCN_02324
Cluster_1103,OCILAMFM_00819,LBGCNHPF_02323,OEIEKCCN_02882
Cluster_1104,OCILAMFM_02280,LBGCNHPF_01007,OEIEKCCN_01621
Cluster_1105,OCILAMFM_01913,LBGCNHPF_00682,OEIEKCCN_01939
Cluster_1106,OCILAMFM_00382,LBGCNHPF_01811,OEIEKCCN_02478
Cluster_1107,OCILAMFM_00638,LBGCNHPF_03243,OEIEKCCN_03055
Cluster_1108,OCILAMFM_01722,LBGCNHPF_04019,OEIEKCCN_00281
Cluster_1109,OCILAMFM_03015,LBGCNHPF_01380,OEIEKCCN_00663
Cluster_1110,OCILAMFM_03641,LBGCNHPF_00373,OEIEKCCN_01236
Cluster_1111,OCILAMFM_03798,LBGCNHPF_00230,OEIEKCCN_03948;OEIEKCCN_01383
Cluster_1112,OCILAMFM_02839,LBGCNHPF_02886,OEIEKCCN_03185
Cluster_1113,OCILAMFM_04393,LBGCNHPF_04109,OEIEKCCN_00323
Cluster_1114,OCILAMFM_01168,LBGCNHPF_04386,OEIEKCCN_00530
Cluster_1115,OCILAMFM_03451,LBGCNHPF_00593,OEIEKCCN_01038
Cluster_1116,,,OEIEKCCN_02108
Cluster_1117,OCILAMFM_00361,LBGCNHPF_01790,OEIEKCCN_02457
Cluster_1118,OCILAMFM_00406,LBGCNHPF_01834,OEIEKCCN_02501
Cluster_1119,,,OEIEKCCN_03778
Cluster_1120,OCILAMFM_01335,LBGCNHPF_02627,OEIEKCCN_04370
Cluster_1121,OCILAMFM_03734,LBGCNHPF_00283,OEIEKCCN_01332;OEIEKCCN_03896
Cluster_1122,OCILAMFM_04330,,
Cluster_1123,OCILAMFM_04411,,
Cluster_1124,,LBGCNHPF_04098,OEIEKCCN_00312
Cluster_1125,OCILAMFM_00599,LBGCNHPF_03198,OEIEKCCN_00472
Cluster_1126,OCILAMFM_03022,LBGCNHPF_01373,OEIEKCCN_00670
Cluster_1127,OCILAMFM_03774,LBGCNHPF_00246,OEIEKCCN_01367;OEIEKCCN_03931
Cluster_1128,,LBGCNHPF_00997,OEIEKCCN_01631
Cluster_1129,OCILAMFM_02254,LBGCNHPF_00976,OEIEKCCN_01652
Cluster_1130,OCILAMFM_02866,LBGCNHPF_01539,OEIEKCCN_03158
Cluster_1131,OCILAMFM_02623,LBGCNHPF_03104,OEIEKCCN_03401
Cluster_1132,OCILAMFM_01276,LBGCNHPF_03598,OEIEKCCN_04423
Cluster_1133,,LBGCNHPF_01675,
Cluster_1134,OCILAMFM_01740,LBGCNHPF_04037,OEIEKCCN_00263
Cluster_1135,OCILAMFM_02972,LBGCNHPF_01431,OEIEKCCN_00612
Cluster_1136,OCILAMFM_03368,LBGCNHPF_03630,OEIEKCCN_00941
Cluster_1137,OCILAMFM_01844,LBGCNHPF_00613,OEIEKCCN_02008
Cluster_1138,OCILAMFM_00019,LBGCNHPF_02456,OEIEKCCN_02149
Cluster_1139,OCILAMFM_02838,LBGCNHPF_02887,OEIEKCCN_03186
Cluster_1140,OCILAMFM_02822,LBGCNHPF_02903,OEIEKCCN_03202
Cluster_1141,OCILAMFM_01266,LBGCNHPF_03588,OEIEKCCN_04433
Cluster_1142,OCILAMFM_01507,LBGCNHPF_02804,OEIEKCCN_04543
Cluster_1143,,LBGCNHPF_01120,
Cluster_1144,OCILAMFM_03133,,
Cluster_1145,OCILAMFM_04302,,
Cluster_1146,OCILAMFM_01816,LBGCNHPF_04350,OEIEKCCN_00493
Cluster_1147,OCILAMFM_03524,LBGCNHPF_00522,OEIEKCCN_01108
Cluster_1148,OCILAMFM_03760,LBGCNHPF_00260,OEIEKCCN_03919;OEIEKCCN_01355
Cluster_1149,OCILAMFM_02403,LBGCNHPF_03961,OEIEKCCN_01502
Cluster_1150,OCILAMFM_02020,LBGCNHPF_00793,OEIEKCCN_01829
Cluster_1151,OCILAMFM_03925,LBGCNHPF_00101,OEIEKCCN_03536;OEIEKCCN_04093
Cluster_1152,,,OEIEKCCN_03825
Cluster_1153,,LBGCNHPF_04506,
Cluster_1154,OCILAMFM_00245,,
Cluster_1155,,LBGCNHPF_04113,OEIEKCCN_00327
Cluster_1156,OCILAMFM_02381,LBGCNHPF_03939,OEIEKCCN_01524
Cluster_1157,OCILAMFM_04225,LBGCNHPF_02396,OEIEKCCN_02089
Cluster_1158,OCILAMFM_00396,LBGCNHPF_01824,OEIEKCCN_02491
Cluster_1159,OCILAMFM_00989,LBGCNHPF_02149,OEIEKCCN_02722
Cluster_1160,OCILAMFM_04149,LBGCNHPF_03518,OEIEKCCN_03853
Cluster_1161,OCILAMFM_01236,LBGCNHPF_03558,OEIEKCCN_04463
Cluster_1162,,LBGCNHPF_03931,
Cluster_1163,OCILAMFM_04238,,
Cluster_1164,OCILAMFM_01631,LBGCNHPF_03347,OEIEKCCN_00073
Cluster_1165,OCILAMFM_03057,LBGCNHPF_01336,OEIEKCCN_00705
Cluster_1166,OCILAMFM_03811,LBGCNHPF_00217,OEIEKCCN_03961;OEIEKCCN_01396
Cluster_1167,OCILAMFM_02006,LBGCNHPF_00779,OEIEKCCN_01843
Cluster_1168,OCILAMFM_00319,LBGCNHPF_01756,OEIEKCCN_02423
Cluster_1169,OCILAMFM_02607;OCILAMFM_02609,LBGCNHPF_03118;LBGCNHPF_03120,OEIEKCCN_03415;OEIEKCCN_03417
Cluster_1170,OCILAMFM_02573,LBGCNHPF_03156,OEIEKCCN_03453
Cluster_1171,OCILAMFM_03892,LBGCNHPF_00134,OEIEKCCN_03504;OEIEKCCN_04061
Cluster_1172,OCILAMFM_01428,LBGCNHPF_02709,OEIEKCCN_04280
Cluster_1173,OCILAMFM_01299,LBGCNHPF_02596,OEIEKCCN_04401
Cluster_1174,,LBGCNHPF_02194,
Cluster_1175,,LBGCNHPF_04404,
Cluster_1176,OCILAMFM_04301,,
Cluster_1177,OCILAMFM_03670,LBGCNHPF_00345,OEIEKCCN_01264
Cluster_1178,OCILAMFM_04103,LBGCNHPF_03472,OEIEKCCN_03745
Cluster_1179,,LBGCNHPF_02175,
Cluster_1180,OCILAMFM_04289,,
Cluster_1181,OCILAMFM_04307,,
Cluster_1182,OCILAMFM_04359,,
Cluster_1183,OCILAMFM_02474,LBGCNHPF_03800,OEIEKCCN_00140
Cluster_1184,OCILAMFM_03833,LBGCNHPF_00195,OEIEKCCN_03983;OEIEKCCN_01418
Cluster_1185,OCILAMFM_02240,LBGCNHPF_00962,OEIEKCCN_01666
Cluster_1186,OCILAMFM_01080,LBGCNHPF_02053,OEIEKCCN_02626
Cluster_1187,OCILAMFM_04159;OCILAMFM_03323,,
Cluster_1188,OCILAMFM_04364,LBGCNHPF_04125,OEIEKCCN_00341
Cluster_1189,OCILAMFM_00088,LBGCNHPF_02516,OEIEKCCN_02209
Cluster_1190,OCILAMFM_00413,LBGCNHPF_01841,OEIEKCCN_02508
Cluster_1191,,LBGCNHPF_02290,OEIEKCCN_02849
Cluster_1192,OCILAMFM_00836,LBGCNHPF_02306,OEIEKCCN_02865
Cluster_1193,OCILAMFM_02923,LBGCNHPF_01483,OEIEKCCN_03102
Cluster_1194,,LBGCNHPF_04170,
Cluster_1195,OCILAMFM_04308,,
Cluster_1196,OCILAMFM_04337,,
Cluster_1197,OCILAMFM_01728,LBGCNHPF_04025,OEIEKCCN_00275
Cluster_1198,OCILAMFM_03183,LBGCNHPF_01266,OEIEKCCN_00775
Cluster_1199,OCILAMFM_03400,LBGCNHPF_03673,OEIEKCCN_00987
Cluster_1200,OCILAMFM_02021,LBGCNHPF_00794,OEIEKCCN_01828
Cluster_1201,,,OEIEKCCN_01879
Cluster_1202,,LBGCNHPF_02377,OEIEKCCN_02071
Cluster_1203,OCILAMFM_00184,LBGCNHPF_01572,OEIEKCCN_02294
Cluster_1204,OCILAMFM_00962,LBGCNHPF_02188,OEIEKCCN_02748
Cluster_1205,OCILAMFM_02750,LBGCNHPF_02976,OEIEKCCN_03274
Cluster_1206,OCILAMFM_00052,,
Cluster_1207,OCILAMFM_01724,LBGCNHPF_04021,OEIEKCCN_00279
Cluster_1208,OCILAMFM_04189,LBGCNHPF_02356,OEIEKCCN_02052
Cluster_1209,OCILAMFM_00168,LBGCNHPF_02586,OEIEKCCN_02278
Cluster_1210,OCILAMFM_00170,LBGCNHPF_02588,OEIEKCCN_02280
Cluster_1211,OCILAMFM_01026,LBGCNHPF_02112,OEIEKCCN_02685
Cluster_1212,OCILAMFM_01513,LBGCNHPF_02810,OEIEKCCN_04549
Cluster_1213,OCILAMFM_04347,,
Cluster_1214,OCILAMFM_03688,LBGCNHPF_00326,OEIEKCCN_01282
Cluster_1215,OCILAMFM_02312,LBGCNHPF_01039,OEIEKCCN_01589
Cluster_1216,OCILAMFM_01881,LBGCNHPF_00650,OEIEKCCN_01971
Cluster_1217,OCILAMFM_00131,LBGCNHPF_02560,OEIEKCCN_02252
Cluster_1218,OCILAMFM_04012,LBGCNHPF_00014,OEIEKCCN_04180;OEIEKCCN_03623
Cluster_1219,,,OEIEKCCN_03690
Cluster_1220,OCILAMFM_02496,LBGCNHPF_03778,OEIEKCCN_00162
Cluster_1221,OCILAMFM_03771,LBGCNHPF_00249,OEIEKCCN_01364;OEIEKCCN_03928
Cluster_1222,OCILAMFM_00415,LBGCNHPF_01843,OEIEKCCN_02510
Cluster_1223,OCILAMFM_00981,LBGCNHPF_02157,OEIEKCCN_02730
Cluster_1224,OCILAMFM_00699,LBGCNHPF_03824,OEIEKCCN_02994
Cluster_1225,OCILAMFM_02492,LBGCNHPF_03782,OEIEKCCN_00158
Cluster_1226,OCILAMFM_01731,LBGCNHPF_04028,OEIEKCCN_00272
Cluster_1227,OCILAMFM_04253,LBGCNHPF_02425,OEIEKCCN_02118
Cluster_1228,OCILAMFM_00790,LBGCNHPF_03910,OEIEKCCN_02909
Cluster_1229,OCILAMFM_02707,LBGCNHPF_03020,OEIEKCCN_03318
Cluster_1230,OCILAMFM_04092,LBGCNHPF_03461,OEIEKCCN_03734
Cluster_1231,OCILAMFM_01510,LBGCNHPF_02807,OEIEKCCN_04546
Cluster_1232,OCILAMFM_00254,LBGCNHPF_01691,OEIEKCCN_02358
Cluster_1233,OCILAMFM_00660,LBGCNHPF_03265,OEIEKCCN_03033
Cluster_1234,OCILAMFM_02803,LBGCNHPF_02922,OEIEKCCN_03221
Cluster_1235,OCILAMFM_04101,LBGCNHPF_03470,OEIEKCCN_03743
Cluster_1236,,LBGCNHPF_02412,
Cluster_1237,OCILAMFM_04106,LBGCNHPF_03475,OEIEKCCN_03748
Cluster_1238,OCILAMFM_01244,LBGCNHPF_03566,OEIEKCCN_04455
Cluster_1239,OCILAMFM_03096,,
Cluster_1240,OCILAMFM_03029,LBGCNHPF_01366,OEIEKCCN_00677
