,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_95,LBGCNHPF_02544,OEIEKCCN_02236,OCILAMFM_00115
Cluster_96,LBGCNHPF_00635,OEIEKCCN_01986,OCILAMFM_01867
Cluster_97,LBGCNHPF_00988,OEIEKCCN_01640,OCILAMFM_02266
Cluster_98,LBGCNHPF_02228,OEIEKCCN_02787,OCILAMFM_00921
Cluster_99,LBGCNHPF_02898,OEIEKCCN_03197,OCILAMFM_02827
Cluster_100,LBGCNHPF_03308,OEIEKCCN_00112,OCILAMFM_01592
Cluster_101,LBGCNHPF_03424,OEIEKCCN_03699,OCILAMFM_04061
Cluster_102,LBGCNHPF_02029,OEIEKCCN_02602,
Cluster_103,LBGCNHPF_00153,,
Cluster_104,,,OCILAMFM_04176
Cluster_105,LBGCNHPF_04272,,
Cluster_106,LBGCNHPF_02570,OEIEKCCN_02262,OCILAMFM_00145
Cluster_107,LBGCNHPF_03248,OEIEKCCN_03050,OCILAMFM_00643
Cluster_108,LBGCNHPF_03591,OEIEKCCN_04430,OCILAMFM_01269
Cluster_109,LBGCNHPF_04302,,
Cluster_110,LBGCNHPF_01044,OEIEKCCN_01584,OCILAMFM_02317
Cluster_111,LBGCNHPF_00722,OEIEKCCN_01900,
Cluster_112,LBGCNHPF_02077,OEIEKCCN_02650,OCILAMFM_01061
Cluster_113,LBGCNHPF_00496,OEIEKCCN_01134,OCILAMFM_03550
Cluster_114,LBGCNHPF_02701,OEIEKCCN_04288,OCILAMFM_01420
Cluster_115,LBGCNHPF_00440,OEIEKCCN_01170,OCILAMFM_03585
Cluster_116,LBGCNHPF_01977,OEIEKCCN_00450,OCILAMFM_00577
Cluster_117,LBGCNHPF_02683,OEIEKCCN_04306,OCILAMFM_01395
Cluster_118,LBGCNHPF_01082,OEIEKCCN_01546,OCILAMFM_02355
Cluster_119,LBGCNHPF_02541,OEIEKCCN_02234,OCILAMFM_00113
Cluster_120,LBGCNHPF_02713,OEIEKCCN_04276,OCILAMFM_01432
Cluster_121,LBGCNHPF_03971,OEIEKCCN_01492,OCILAMFM_02413
Cluster_122,LBGCNHPF_00151,OEIEKCCN_03487;OEIEKCCN_04044,OCILAMFM_03875
Cluster_123,LBGCNHPF_03408,OEIEKCCN_00013,OCILAMFM_01696
Cluster_124,LBGCNHPF_00725,OEIEKCCN_01897,
Cluster_125,LBGCNHPF_00565,OEIEKCCN_01065,OCILAMFM_03480
Cluster_126,LBGCNHPF_02549,OEIEKCCN_02241,OCILAMFM_00120
Cluster_127,LBGCNHPF_00382,OEIEKCCN_01227,OCILAMFM_03632
Cluster_128,LBGCNHPF_04448,,
Cluster_129,LBGCNHPF_03204,OEIEKCCN_00466,OCILAMFM_00605
Cluster_130,LBGCNHPF_01348,OEIEKCCN_00693,OCILAMFM_03045
Cluster_131,LBGCNHPF_02715,OEIEKCCN_04274,OCILAMFM_01434
Cluster_132,LBGCNHPF_00921,OEIEKCCN_01701,OCILAMFM_02194
Cluster_133,LBGCNHPF_00444,OEIEKCCN_01166,OCILAMFM_03581
Cluster_134,LBGCNHPF_04322,,
Cluster_135,LBGCNHPF_04476,OEIEKCCN_01531,OCILAMFM_02373
Cluster_136,LBGCNHPF_00735,OEIEKCCN_01887,
Cluster_137,LBGCNHPF_03757,OEIEKCCN_00184,OCILAMFM_02518
Cluster_138,,,OCILAMFM_04173
Cluster_139,LBGCNHPF_02943,OEIEKCCN_03242,OCILAMFM_02782
Cluster_140,,,OCILAMFM_00045
Cluster_141,LBGCNHPF_03179,OEIEKCCN_00491,OCILAMFM_00581
Cluster_142,,OEIEKCCN_04221,
Cluster_143,LBGCNHPF_01390,OEIEKCCN_00653,OCILAMFM_03005
Cluster_144,LBGCNHPF_01270,OEIEKCCN_00771,OCILAMFM_03179
Cluster_145,LBGCNHPF_02099,OEIEKCCN_02672,OCILAMFM_01039
Cluster_146,LBGCNHPF_04043,OEIEKCCN_00257,OCILAMFM_01746
Cluster_147,LBGCNHPF_03211,OEIEKCCN_00459,OCILAMFM_00612
Cluster_148,LBGCNHPF_01583,OEIEKCCN_02305,
Cluster_149,,,OCILAMFM_00199
Cluster_150,,,OCILAMFM_00246
Cluster_151,,OEIEKCCN_04356,
Cluster_152,LBGCNHPF_03570,OEIEKCCN_04451,OCILAMFM_01248
Cluster_153,LBGCNHPF_03954,OEIEKCCN_01509,OCILAMFM_02396
Cluster_154,,,OCILAMFM_02199
Cluster_155,,OEIEKCCN_03678,
Cluster_156,LBGCNHPF_01768,OEIEKCCN_02435,OCILAMFM_00336
Cluster_157,LBGCNHPF_04214,,
Cluster_158,,OEIEKCCN_03641;OEIEKCCN_04198,
Cluster_159,LBGCNHPF_02826,OEIEKCCN_04565,OCILAMFM_01529
Cluster_160,LBGCNHPF_01313,OEIEKCCN_00728,OCILAMFM_03080
Cluster_161,LBGCNHPF_02725,OEIEKCCN_04264,OCILAMFM_01444
Cluster_162,,,OCILAMFM_03159
Cluster_163,LBGCNHPF_03063,OEIEKCCN_03361,OCILAMFM_02665
Cluster_164,,,OCILAMFM_03874
Cluster_165,LBGCNHPF_02170,OEIEKCCN_02743,OCILAMFM_00968
Cluster_166,,OEIEKCCN_03769,
Cluster_167,LBGCNHPF_00820,OEIEKCCN_01802,OCILAMFM_02047
Cluster_168,LBGCNHPF_02178,,
Cluster_169,LBGCNHPF_03953,OEIEKCCN_01510,OCILAMFM_02395
Cluster_170,LBGCNHPF_00974,OEIEKCCN_01654,OCILAMFM_02252
Cluster_171,,OEIEKCCN_04027,
Cluster_172,,,OCILAMFM_02154
Cluster_173,LBGCNHPF_03596,OEIEKCCN_04425,OCILAMFM_01274
Cluster_174,LBGCNHPF_03789,OEIEKCCN_00151,OCILAMFM_02485
Cluster_175,LBGCNHPF_00799,OEIEKCCN_01823,OCILAMFM_02026
Cluster_176,LBGCNHPF_03406,OEIEKCCN_00015,OCILAMFM_01694
Cluster_177,LBGCNHPF_01819,OEIEKCCN_02486,OCILAMFM_00391
Cluster_178,LBGCNHPF_01499,OEIEKCCN_03118,OCILAMFM_02907
Cluster_179,LBGCNHPF_00617,OEIEKCCN_02004,OCILAMFM_01848
Cluster_180,LBGCNHPF_02264,OEIEKCCN_02823,OCILAMFM_00880
Cluster_181,LBGCNHPF_03055,OEIEKCCN_03353,OCILAMFM_02673
Cluster_182,LBGCNHPF_00424,OEIEKCCN_01185,
Cluster_183,LBGCNHPF_00828,OEIEKCCN_01794,OCILAMFM_02055
Cluster_184,LBGCNHPF_02791,OEIEKCCN_04530,OCILAMFM_01494
Cluster_185,LBGCNHPF_02817,OEIEKCCN_04556,OCILAMFM_01519
Cluster_186,,,OCILAMFM_01109
Cluster_187,LBGCNHPF_03981,OEIEKCCN_01482,OCILAMFM_02423
Cluster_188,LBGCNHPF_03590,OEIEKCCN_04431,OCILAMFM_01268
Cluster_189,,,OCILAMFM_01984
Cluster_190,,,OCILAMFM_02196
Cluster_191,LBGCNHPF_00225,OEIEKCCN_03953;OEIEKCCN_01388,OCILAMFM_03803
Cluster_192,LBGCNHPF_00306,OEIEKCCN_01301,OCILAMFM_03705
Cluster_193,LBGCNHPF_04159,,
Cluster_194,LBGCNHPF_00078,OEIEKCCN_04116;OEIEKCCN_03559,OCILAMFM_03948
Cluster_195,LBGCNHPF_03003,OEIEKCCN_03301,OCILAMFM_02722
Cluster_196,,OEIEKCCN_04043;OEIEKCCN_03486,
Cluster_197,LBGCNHPF_00093,OEIEKCCN_04101;OEIEKCCN_03544,OCILAMFM_03933
Cluster_198,LBGCNHPF_00152,,
Cluster_199,LBGCNHPF_01008,OEIEKCCN_01620,OCILAMFM_02281
Cluster_200,LBGCNHPF_02133,OEIEKCCN_02706,OCILAMFM_01005
Cluster_201,LBGCNHPF_02836,OEIEKCCN_04575,OCILAMFM_01540
Cluster_202,LBGCNHPF_00210,OEIEKCCN_01403;OEIEKCCN_03968,OCILAMFM_03818
Cluster_203,LBGCNHPF_01012,OEIEKCCN_01616,OCILAMFM_02285
Cluster_204,LBGCNHPF_02352,OEIEKCCN_02048,OCILAMFM_04188
Cluster_205,LBGCNHPF_00877,OEIEKCCN_01745,OCILAMFM_02105
Cluster_206,LBGCNHPF_00594,OEIEKCCN_01037,OCILAMFM_03450
Cluster_207,LBGCNHPF_03117,OEIEKCCN_03414,OCILAMFM_02610
Cluster_208,,OEIEKCCN_00330,
Cluster_209,LBGCNHPF_02026,OEIEKCCN_02599,OCILAMFM_01112
Cluster_210,LBGCNHPF_03580,OEIEKCCN_04441,OCILAMFM_01258
Cluster_211,,OEIEKCCN_04236,
Cluster_212,LBGCNHPF_01830,OEIEKCCN_02497,OCILAMFM_00402
Cluster_213,,OEIEKCCN_04016;OEIEKCCN_01451,
Cluster_214,LBGCNHPF_00416,OEIEKCCN_01193,OCILAMFM_03598
Cluster_215,LBGCNHPF_03582,OEIEKCCN_04439,OCILAMFM_01260
Cluster_216,LBGCNHPF_02366,OEIEKCCN_02059,OCILAMFM_04196
Cluster_217,LBGCNHPF_01497,OEIEKCCN_03116,OCILAMFM_02909
Cluster_218,LBGCNHPF_02210,OEIEKCCN_02769,OCILAMFM_00939
Cluster_219,,OEIEKCCN_03683,
