,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_1222,LBGCNHPF_01843,OEIEKCCN_02510,OCILAMFM_00415
Cluster_1223,LBGCNHPF_02157,OEIEKCCN_02730,OCILAMFM_00981
Cluster_1224,LBGCNHPF_03824,OEIEKCCN_02994,OCILAMFM_00699
Cluster_1225,LBGCNHPF_03782,OEIEKCCN_00158,OCILAMFM_02492
Cluster_1226,LBGCNHPF_04028,OEIEKCCN_00272,OCILAMFM_01731
Cluster_1227,LBGCNHPF_02425,OEIEKCCN_02118,OCILAMFM_04253
Cluster_1228,LBGCNHPF_03910,OEIEKCCN_02909,OCILAMFM_00790
Cluster_1229,LBGCNHPF_03020,OEIEKCCN_03318,OCILAMFM_02707
Cluster_1230,LBGCNHPF_03461,OEIEKCCN_03734,OCILAMFM_04092
Cluster_1231,LBGCNHPF_02807,OEIEKCCN_04546,OCILAMFM_01510
Cluster_1232,LBGCNHPF_01691,OEIEKCCN_02358,OCILAMFM_00254
Cluster_1233,LBGCNHPF_03265,OEIEKCCN_03033,OCILAMFM_00660
Cluster_1234,LBGCNHPF_02922,OEIEKCCN_03221,OCILAMFM_02803
Cluster_1235,LBGCNHPF_03470,OEIEKCCN_03743,OCILAMFM_04101
Cluster_1236,LBGCNHPF_02412,,
Cluster_1237,LBGCNHPF_03475,OEIEKCCN_03748,OCILAMFM_04106
Cluster_1238,LBGCNHPF_03566,OEIEKCCN_04455,OCILAMFM_01244
Cluster_1239,,,OCILAMFM_03096
Cluster_1240,LBGCNHPF_01366,OEIEKCCN_00677,OCILAMFM_03029
Cluster_1241,LBGCNHPF_01225,OEIEKCCN_00816,OCILAMFM_03224
Cluster_1242,LBGCNHPF_00904,OEIEKCCN_01718,OCILAMFM_02178
Cluster_1243,LBGCNHPF_01706,OEIEKCCN_02373,OCILAMFM_00269
Cluster_1244,LBGCNHPF_01713,OEIEKCCN_02380,OCILAMFM_00276
Cluster_1245,LBGCNHPF_01521,OEIEKCCN_03140,OCILAMFM_02885
Cluster_1246,LBGCNHPF_02840,OEIEKCCN_04579,OCILAMFM_01544
Cluster_1247,,,OCILAMFM_01639
Cluster_1248,LBGCNHPF_03821,OEIEKCCN_00119,OCILAMFM_02450
Cluster_1249,LBGCNHPF_00279,OEIEKCCN_03900;OEIEKCCN_01336,OCILAMFM_03739
Cluster_1250,LBGCNHPF_00879,OEIEKCCN_01742,OCILAMFM_02108
Cluster_1251,LBGCNHPF_00672,OEIEKCCN_01949,
Cluster_1252,LBGCNHPF_02100,OEIEKCCN_02673,OCILAMFM_01038
Cluster_1253,LBGCNHPF_03853,OEIEKCCN_02966,OCILAMFM_00732
Cluster_1254,LBGCNHPF_00052,OEIEKCCN_04142;OEIEKCCN_03585,OCILAMFM_03974
Cluster_1255,LBGCNHPF_02673,OEIEKCCN_04316,OCILAMFM_01385
Cluster_1256,,,OCILAMFM_01903
Cluster_1257,,,OCILAMFM_03320
Cluster_1258,LBGCNHPF_03801,OEIEKCCN_00139,OCILAMFM_02473
Cluster_1259,LBGCNHPF_01441,OEIEKCCN_00602,OCILAMFM_02961
Cluster_1260,,OEIEKCCN_03682,
Cluster_1261,LBGCNHPF_00349,OEIEKCCN_01260,OCILAMFM_03666
Cluster_1262,LBGCNHPF_00944,OEIEKCCN_01678,OCILAMFM_02228
Cluster_1263,LBGCNHPF_02444,OEIEKCCN_02137,OCILAMFM_00007
Cluster_1264,LBGCNHPF_03289,OEIEKCCN_03009,OCILAMFM_00685
Cluster_1265,LBGCNHPF_04295,,
Cluster_1266,,,OCILAMFM_04305;OCILAMFM_04310
Cluster_1267,LBGCNHPF_00270,OEIEKCCN_03909;OEIEKCCN_01345,OCILAMFM_03750
Cluster_1268,LBGCNHPF_00254,OEIEKCCN_03923;OEIEKCCN_01359,OCILAMFM_03766
Cluster_1269,LBGCNHPF_00712,OEIEKCCN_01910,OCILAMFM_01944
Cluster_1270,LBGCNHPF_00623,OEIEKCCN_01998,OCILAMFM_01854
Cluster_1271,LBGCNHPF_03870,OEIEKCCN_02949,OCILAMFM_00749
Cluster_1272,LBGCNHPF_01466,OEIEKCCN_03085,OCILAMFM_02937
Cluster_1273,LBGCNHPF_01485,OEIEKCCN_03104,OCILAMFM_02921
Cluster_1274,LBGCNHPF_refound_1,OEIEKCCN_refound_1,OCILAMFM_01202;OCILAMFM_01789
Cluster_1275,LBGCNHPF_00595,OEIEKCCN_01036,OCILAMFM_03449
Cluster_1276,LBGCNHPF_01695,OEIEKCCN_02362,OCILAMFM_00258
Cluster_1277,,OEIEKCCN_03865,
Cluster_1278,LBGCNHPF_04085,OEIEKCCN_00299,OCILAMFM_04426
Cluster_1279,LBGCNHPF_03680,OEIEKCCN_00994,OCILAMFM_03407
Cluster_1280,LBGCNHPF_00937,OEIEKCCN_01685,OCILAMFM_02221
Cluster_1281,LBGCNHPF_02424,OEIEKCCN_02117,OCILAMFM_04252
Cluster_1282,LBGCNHPF_01597,OEIEKCCN_02320,OCILAMFM_00215
Cluster_1283,LBGCNHPF_02289,OEIEKCCN_02848,OCILAMFM_00855
Cluster_1284,LBGCNHPF_02897,OEIEKCCN_03196,OCILAMFM_02828
Cluster_1285,LBGCNHPF_03163,OEIEKCCN_03460,OCILAMFM_02566
Cluster_1286,LBGCNHPF_00034,OEIEKCCN_03603;OEIEKCCN_04160,OCILAMFM_03992
Cluster_1287,LBGCNHPF_04310,,
Cluster_1288,,,OCILAMFM_04317
Cluster_1289,LBGCNHPF_01206,OEIEKCCN_00835,OCILAMFM_03243
Cluster_1290,LBGCNHPF_00287,OEIEKCCN_03891;OEIEKCCN_01327,OCILAMFM_03729
Cluster_1291,LBGCNHPF_02225,OEIEKCCN_02784,OCILAMFM_00924
Cluster_1292,LBGCNHPF_03901,OEIEKCCN_02918,OCILAMFM_00780
Cluster_1293,LBGCNHPF_02928,OEIEKCCN_03227,OCILAMFM_02797
Cluster_1294,LBGCNHPF_00102,OEIEKCCN_04092;OEIEKCCN_03535,OCILAMFM_03924
Cluster_1295,LBGCNHPF_04420,,
Cluster_1296,LBGCNHPF_04518,,
Cluster_1297,LBGCNHPF_01617,OEIEKCCN_02340,OCILAMFM_00235
Cluster_1298,,,OCILAMFM_03150
Cluster_1299,LBGCNHPF_04120,OEIEKCCN_00336,OCILAMFM_04369
Cluster_1300,LBGCNHPF_03751,OEIEKCCN_00190,OCILAMFM_02525
Cluster_1301,LBGCNHPF_00197,OEIEKCCN_01416;OEIEKCCN_03981,OCILAMFM_03831
Cluster_1302,LBGCNHPF_02577,OEIEKCCN_02269,OCILAMFM_00152
Cluster_1303,LBGCNHPF_02258,OEIEKCCN_02817,OCILAMFM_00886
Cluster_1304,LBGCNHPF_03554,OEIEKCCN_04469,OCILAMFM_01232
Cluster_1305,,,OCILAMFM_00853
Cluster_1306,LBGCNHPF_03411,OEIEKCCN_00010,OCILAMFM_01699
Cluster_1307,LBGCNHPF_03340,OEIEKCCN_00080,OCILAMFM_01624
Cluster_1308,LBGCNHPF_01243,OEIEKCCN_00798,OCILAMFM_03206
Cluster_1309,LBGCNHPF_01163,OEIEKCCN_00878,OCILAMFM_03284
Cluster_1310,LBGCNHPF_03977,OEIEKCCN_01486,OCILAMFM_02419
Cluster_1311,LBGCNHPF_02454,OEIEKCCN_02147,OCILAMFM_00017
Cluster_1312,LBGCNHPF_01515,OEIEKCCN_03134,OCILAMFM_02891
Cluster_1313,,,OCILAMFM_03784
Cluster_1314,,,OCILAMFM_04361
Cluster_1315,LBGCNHPF_02952,OEIEKCCN_03251,OCILAMFM_02773
Cluster_1316,LBGCNHPF_04266,,
Cluster_1317,LBGCNHPF_01912,OEIEKCCN_00385,OCILAMFM_00517
Cluster_1318,,,OCILAMFM_04385
Cluster_1319,,,OCILAMFM_04448
Cluster_1320,LBGCNHPF_03359,OEIEKCCN_00062,OCILAMFM_01644
Cluster_1321,LBGCNHPF_00286,OEIEKCCN_01328;OEIEKCCN_03892,OCILAMFM_03730
Cluster_1322,LBGCNHPF_00271,OEIEKCCN_01344;OEIEKCCN_03908,OCILAMFM_03749
Cluster_1323,LBGCNHPF_01034,OEIEKCCN_01594,OCILAMFM_02307
Cluster_1324,LBGCNHPF_02496,OEIEKCCN_02189,OCILAMFM_00068
Cluster_1325,,OEIEKCCN_02356,
Cluster_1326,LBGCNHPF_02806,OEIEKCCN_04545,OCILAMFM_01509
Cluster_1327,,,OCILAMFM_01103
Cluster_1328,LBGCNHPF_01432,OEIEKCCN_00611,OCILAMFM_02971
Cluster_1329,LBGCNHPF_01349,OEIEKCCN_00692,OCILAMFM_03044
Cluster_1330,,OEIEKCCN_00918,
Cluster_1331,,OEIEKCCN_00919,
Cluster_1332,LBGCNHPF_00333,OEIEKCCN_01275,OCILAMFM_03681
Cluster_1333,LBGCNHPF_00893,OEIEKCCN_01729,OCILAMFM_02167
Cluster_1334,LBGCNHPF_03284,OEIEKCCN_03014,OCILAMFM_00680
Cluster_1335,LBGCNHPF_03261,OEIEKCCN_03037,OCILAMFM_00656
Cluster_1336,LBGCNHPF_02815,OEIEKCCN_04554,OCILAMFM_01518
Cluster_1337,LBGCNHPF_01101,,
Cluster_1338,LBGCNHPF_04145,OEIEKCCN_00361,OCILAMFM_04437
Cluster_1339,LBGCNHPF_03620,OEIEKCCN_00930,OCILAMFM_03357
Cluster_1340,LBGCNHPF_02509,OEIEKCCN_02202,OCILAMFM_00081
Cluster_1341,LBGCNHPF_02582,OEIEKCCN_02274,OCILAMFM_00162
Cluster_1342,LBGCNHPF_01704,OEIEKCCN_02371,OCILAMFM_00267
Cluster_1343,LBGCNHPF_03846,OEIEKCCN_02972,OCILAMFM_00725
Cluster_1344,LBGCNHPF_03551,OEIEKCCN_04472,OCILAMFM_01229
Cluster_1345,LBGCNHPF_03790,OEIEKCCN_00150,OCILAMFM_02484
Cluster_1346,LBGCNHPF_00219,OEIEKCCN_01394;OEIEKCCN_03959,OCILAMFM_03809
Cluster_1347,LBGCNHPF_00187,OEIEKCCN_03991;OEIEKCCN_01426,
Cluster_1348,LBGCNHPF_04532,OEIEKCCN_01536,OCILAMFM_02365
Cluster_1349,LBGCNHPF_01066,OEIEKCCN_01562,OCILAMFM_02339
Cluster_1350,LBGCNHPF_01835,OEIEKCCN_02502,OCILAMFM_00407
Cluster_1351,LBGCNHPF_03871,OEIEKCCN_02948,OCILAMFM_00750
Cluster_1352,LBGCNHPF_03069,OEIEKCCN_03367,OCILAMFM_02659
Cluster_1353,LBGCNHPF_03091,OEIEKCCN_03389,OCILAMFM_02636
Cluster_1354,LBGCNHPF_03477,OEIEKCCN_03750,OCILAMFM_04108
Cluster_1355,LBGCNHPF_01125,,
Cluster_1356,LBGCNHPF_04471,,OCILAMFM_04291
Cluster_1357,,,OCILAMFM_03342
Cluster_1358,LBGCNHPF_01968,OEIEKCCN_00441,OCILAMFM_00567
Cluster_1359,LBGCNHPF_03672,OEIEKCCN_00986,OCILAMFM_03399
Cluster_1360,LBGCNHPF_00610,OEIEKCCN_02010,OCILAMFM_01842
Cluster_1361,,OEIEKCCN_03647;OEIEKCCN_04204,OCILAMFM_04025
Cluster_1362,,,OCILAMFM_04353
Cluster_1363,LBGCNHPF_04114,OEIEKCCN_00328,
Cluster_1364,LBGCNHPF_01306,OEIEKCCN_00735,OCILAMFM_03087
Cluster_1365,LBGCNHPF_01055,OEIEKCCN_01573,OCILAMFM_02328
Cluster_1366,LBGCNHPF_00631,OEIEKCCN_01990,OCILAMFM_01863
Cluster_1367,LBGCNHPF_01587,OEIEKCCN_02311,OCILAMFM_00205
Cluster_1368,LBGCNHPF_00110,OEIEKCCN_04084;OEIEKCCN_03527,OCILAMFM_03915
Cluster_1369,,OEIEKCCN_03652,OCILAMFM_04030
Cluster_1370,LBGCNHPF_02628,OEIEKCCN_04369,OCILAMFM_01336
Cluster_1371,LBGCNHPF_02621,OEIEKCCN_04376,
Cluster_1372,LBGCNHPF_04153,,
Cluster_1373,,,OCILAMFM_03290
Cluster_1374,LBGCNHPF_04039,OEIEKCCN_00261,OCILAMFM_01742
Cluster_1375,LBGCNHPF_01354,OEIEKCCN_00689,OCILAMFM_03041
Cluster_1376,LBGCNHPF_00525,OEIEKCCN_01105,OCILAMFM_03521
Cluster_1377,LBGCNHPF_00477,OEIEKCCN_01153,OCILAMFM_03568
Cluster_1378,LBGCNHPF_02359,OEIEKCCN_02055,OCILAMFM_04192
Cluster_1379,LBGCNHPF_02554,OEIEKCCN_02246,OCILAMFM_00125
Cluster_1380,LBGCNHPF_00060,OEIEKCCN_03577;OEIEKCCN_04134,OCILAMFM_03966
Cluster_1381,LBGCNHPF_01319,OEIEKCCN_00722,OCILAMFM_03074
Cluster_1382,,,OCILAMFM_01640
Cluster_1383,,,OCILAMFM_01670
Cluster_1384,,,OCILAMFM_03305
Cluster_1385,LBGCNHPF_00259,OEIEKCCN_03920;OEIEKCCN_01356,OCILAMFM_03761
Cluster_1386,LBGCNHPF_00945,OEIEKCCN_01677,OCILAMFM_02229
Cluster_1387,LBGCNHPF_02142,OEIEKCCN_02715,OCILAMFM_00996
Cluster_1388,LBGCNHPF_04304,,
Cluster_1389,LBGCNHPF_04413,,
Cluster_1390,LBGCNHPF_03335,OEIEKCCN_00085,OCILAMFM_01619
Cluster_1391,LBGCNHPF_00323,OEIEKCCN_01285,OCILAMFM_03691
Cluster_1392,LBGCNHPF_00192,OEIEKCCN_03986;OEIEKCCN_01421,OCILAMFM_03836
Cluster_1393,LBGCNHPF_01018,OEIEKCCN_01610,OCILAMFM_02291
Cluster_1394,LBGCNHPF_01714,OEIEKCCN_02381,OCILAMFM_00277
Cluster_1395,LBGCNHPF_01844,OEIEKCCN_02511,OCILAMFM_00416
Cluster_1396,LBGCNHPF_01511,OEIEKCCN_03130,OCILAMFM_02895
Cluster_1397,LBGCNHPF_02639,OEIEKCCN_04350,OCILAMFM_01350
Cluster_1398,LBGCNHPF_03557,OEIEKCCN_04466,OCILAMFM_01235
Cluster_1399,,,OCILAMFM_00465
Cluster_1400,LBGCNHPF_02387,OEIEKCCN_02081,OCILAMFM_04213
Cluster_1401,LBGCNHPF_00983,OEIEKCCN_01645,OCILAMFM_02261
Cluster_1402,LBGCNHPF_01822,OEIEKCCN_02489,OCILAMFM_00394
Cluster_1403,LBGCNHPF_03609,OEIEKCCN_04413,OCILAMFM_01287
Cluster_1404,LBGCNHPF_00158,,
Cluster_1405,LBGCNHPF_03925,,
Cluster_1406,LBGCNHPF_03391,OEIEKCCN_00030,OCILAMFM_01679
Cluster_1407,LBGCNHPF_00587,OEIEKCCN_01044,OCILAMFM_03457
Cluster_1408,LBGCNHPF_00342,OEIEKCCN_01267,OCILAMFM_03673
Cluster_1409,LBGCNHPF_01983,OEIEKCCN_02556,OCILAMFM_01156
Cluster_1410,LBGCNHPF_02059,OEIEKCCN_02632,OCILAMFM_01074
Cluster_1411,LBGCNHPF_02931,OEIEKCCN_03230,OCILAMFM_02794
Cluster_1412,LBGCNHPF_02747,OEIEKCCN_04242,OCILAMFM_01462
Cluster_1413,,,OCILAMFM_02143
Cluster_1414,LBGCNHPF_01196,OEIEKCCN_00845,OCILAMFM_03251
Cluster_1415,LBGCNHPF_02064,OEIEKCCN_02637,
Cluster_1416,LBGCNHPF_02209,OEIEKCCN_02768,OCILAMFM_00941
Cluster_1417,LBGCNHPF_00031,OEIEKCCN_03606;OEIEKCCN_04163,OCILAMFM_03995
Cluster_1418,,OEIEKCCN_04226,
Cluster_1419,LBGCNHPF_03576,OEIEKCCN_04445,OCILAMFM_01254
Cluster_1420,LBGCNHPF_04516,,
Cluster_1421,LBGCNHPF_01972,OEIEKCCN_00445,OCILAMFM_00572
Cluster_1422,,OEIEKCCN_03657,OCILAMFM_04035
Cluster_1423,LBGCNHPF_03550,OEIEKCCN_04473,OCILAMFM_01228
Cluster_1424,,,OCILAMFM_01412
Cluster_1425,,,OCILAMFM_02156
Cluster_1426,,OEIEKCCN_00958,OCILAMFM_03381
Cluster_1427,LBGCNHPF_01969,OEIEKCCN_00442,OCILAMFM_00568
Cluster_1428,LBGCNHPF_01274,OEIEKCCN_00767,OCILAMFM_03175
Cluster_1429,LBGCNHPF_00435,OEIEKCCN_01174,OCILAMFM_03589
Cluster_1430,LBGCNHPF_00353,OEIEKCCN_01256,OCILAMFM_03661
Cluster_1431,LBGCNHPF_00865,OEIEKCCN_01757,OCILAMFM_02093
Cluster_1432,LBGCNHPF_02536,OEIEKCCN_02229,OCILAMFM_00108
Cluster_1433,LBGCNHPF_01828,OEIEKCCN_02495,OCILAMFM_00400
Cluster_1434,,,OCILAMFM_02151
Cluster_1435,,,OCILAMFM_03787
Cluster_1436,LBGCNHPF_01845,OEIEKCCN_02512,OCILAMFM_00417
Cluster_1437,LBGCNHPF_02097,OEIEKCCN_02670,OCILAMFM_01041
Cluster_1438,LBGCNHPF_03860,OEIEKCCN_02959,OCILAMFM_00739
Cluster_1439,LBGCNHPF_02896,OEIEKCCN_03195,OCILAMFM_02829
Cluster_1440,LBGCNHPF_02760,,
Cluster_1441,,,OCILAMFM_01304
Cluster_1442,LBGCNHPF_04076,OEIEKCCN_00224,OCILAMFM_01780
Cluster_1443,LBGCNHPF_03826,OEIEKCCN_02992,OCILAMFM_00701
Cluster_1444,LBGCNHPF_03173,OEIEKCCN_03470,OCILAMFM_02558
Cluster_1445,LBGCNHPF_03354,,
Cluster_1446,LBGCNHPF_04560,,OCILAMFM_02649
Cluster_1447,LBGCNHPF_03405,OEIEKCCN_00016,OCILAMFM_01693
Cluster_1448,LBGCNHPF_03795,OEIEKCCN_00145,OCILAMFM_02479
Cluster_1449,LBGCNHPF_03184,OEIEKCCN_00486,OCILAMFM_00586
Cluster_1450,LBGCNHPF_02481,OEIEKCCN_02174,
Cluster_1451,LBGCNHPF_02233,OEIEKCCN_02792,OCILAMFM_00916
Cluster_1452,LBGCNHPF_02345,,
Cluster_1453,LBGCNHPF_04311,,
Cluster_1454,LBGCNHPF_04140,OEIEKCCN_00356,OCILAMFM_04443
Cluster_1455,LBGCNHPF_00213,OEIEKCCN_03965;OEIEKCCN_01400,OCILAMFM_03815
Cluster_1456,LBGCNHPF_00996,OEIEKCCN_01632,
Cluster_1457,,OEIEKCCN_02107,
Cluster_1458,LBGCNHPF_02515,OEIEKCCN_02208,
Cluster_1459,LBGCNHPF_02255,OEIEKCCN_02814,OCILAMFM_00889
Cluster_1460,LBGCNHPF_04276,,
Cluster_1461,LBGCNHPF_04464,,
Cluster_1462,,,OCILAMFM_00087
Cluster_1463,,,OCILAMFM_01671
Cluster_1464,,,OCILAMFM_04340
Cluster_1465,LBGCNHPF_01958,OEIEKCCN_00431,OCILAMFM_00557
Cluster_1466,LBGCNHPF_01040,OEIEKCCN_01588,OCILAMFM_02313
Cluster_1467,LBGCNHPF_02540,OEIEKCCN_02233,OCILAMFM_00112
Cluster_1468,LBGCNHPF_02086,OEIEKCCN_02659,OCILAMFM_01052
Cluster_1469,LBGCNHPF_02212,OEIEKCCN_02771,OCILAMFM_00937
Cluster_1470,LBGCNHPF_03881,OEIEKCCN_02938,OCILAMFM_00760
Cluster_1471,LBGCNHPF_01475,OEIEKCCN_03094,OCILAMFM_02931
Cluster_1472,LBGCNHPF_01537,OEIEKCCN_03156,OCILAMFM_02868
Cluster_1473,LBGCNHPF_03409,OEIEKCCN_00012,OCILAMFM_01697
Cluster_1474,LBGCNHPF_01379,OEIEKCCN_00664,OCILAMFM_03016
Cluster_1475,LBGCNHPF_03696,OEIEKCCN_01010,OCILAMFM_03423
Cluster_1476,LBGCNHPF_02160,OEIEKCCN_02733,OCILAMFM_00978
Cluster_1477,LBGCNHPF_03847,OEIEKCCN_02971,OCILAMFM_00726
Cluster_1478,LBGCNHPF_00413,OEIEKCCN_01196,OCILAMFM_03601
Cluster_1479,LBGCNHPF_00296,OEIEKCCN_01311;OEIEKCCN_03875,OCILAMFM_03713
Cluster_1480,LBGCNHPF_00229,OEIEKCCN_03949;OEIEKCCN_01384,OCILAMFM_03799
Cluster_1481,LBGCNHPF_00876,OEIEKCCN_01746,OCILAMFM_02104
Cluster_1482,,OEIEKCCN_02755,
Cluster_1483,LBGCNHPF_01552,OEIEKCCN_03171,OCILAMFM_02853
Cluster_1484,LBGCNHPF_02927,OEIEKCCN_03226,OCILAMFM_02798
Cluster_1485,LBGCNHPF_00109,OEIEKCCN_03528;OEIEKCCN_04085,OCILAMFM_03917
Cluster_1486,LBGCNHPF_02681,OEIEKCCN_04308,OCILAMFM_01393
Cluster_1487,LBGCNHPF_02772,OEIEKCCN_04511,OCILAMFM_01477
Cluster_1488,LBGCNHPF_03930,,
Cluster_1489,LBGCNHPF_01946,OEIEKCCN_00419,OCILAMFM_00552
Cluster_1490,LBGCNHPF_01344,OEIEKCCN_00697,OCILAMFM_03049
Cluster_1491,LBGCNHPF_03702,OEIEKCCN_01016,OCILAMFM_03429
Cluster_1492,LBGCNHPF_00233,OEIEKCCN_03945;OEIEKCCN_01380,OCILAMFM_03794
Cluster_1493,LBGCNHPF_03986,OEIEKCCN_01477,OCILAMFM_02428
Cluster_1494,LBGCNHPF_02331,OEIEKCCN_02890,OCILAMFM_00809
Cluster_1495,LBGCNHPF_03006,OEIEKCCN_03304,OCILAMFM_02719
Cluster_1496,LBGCNHPF_02818,OEIEKCCN_04557,OCILAMFM_01520
Cluster_1497,,,OCILAMFM_04219
Cluster_1498,,OEIEKCCN_02106,
Cluster_1499,LBGCNHPF_02322,OEIEKCCN_02881,OCILAMFM_00820
Cluster_1500,LBGCNHPF_03264,OEIEKCCN_03034,OCILAMFM_00659
Cluster_1501,LBGCNHPF_03249,OEIEKCCN_03049,OCILAMFM_00644
Cluster_1502,LBGCNHPF_03172,OEIEKCCN_03469,OCILAMFM_02559
Cluster_1503,LBGCNHPF_03611,OEIEKCCN_04411,OCILAMFM_01289
Cluster_1504,LBGCNHPF_00982,OEIEKCCN_01646,OCILAMFM_02260
Cluster_1505,LBGCNHPF_04040,OEIEKCCN_00260,OCILAMFM_01743
Cluster_1506,LBGCNHPF_01421,OEIEKCCN_00623,OCILAMFM_02982
Cluster_1507,LBGCNHPF_01218,OEIEKCCN_00823,OCILAMFM_03231
Cluster_1508,LBGCNHPF_00199,OEIEKCCN_03979;OEIEKCCN_01414,OCILAMFM_03829
Cluster_1509,LBGCNHPF_02211,OEIEKCCN_02770,OCILAMFM_00938
Cluster_1510,LBGCNHPF_02893,OEIEKCCN_03192,OCILAMFM_02832
Cluster_1511,LBGCNHPF_02980,OEIEKCCN_03278,OCILAMFM_02746
Cluster_1512,LBGCNHPF_02994,OEIEKCCN_03292,OCILAMFM_02731
Cluster_1513,,OEIEKCCN_04025,
Cluster_1514,LBGCNHPF_01957,OEIEKCCN_00430,OCILAMFM_00556
Cluster_1515,LBGCNHPF_01188,OEIEKCCN_00853,OCILAMFM_03259
Cluster_1516,LBGCNHPF_01166,OEIEKCCN_00875,OCILAMFM_03281
Cluster_1517,LBGCNHPF_00993,OEIEKCCN_01635,OCILAMFM_02272
Cluster_1518,LBGCNHPF_00842,OEIEKCCN_01780,OCILAMFM_02069
Cluster_1519,LBGCNHPF_01842,OEIEKCCN_02509,OCILAMFM_00414
Cluster_1520,LBGCNHPF_03893,OEIEKCCN_02926,OCILAMFM_00772
Cluster_1521,,,OCILAMFM_01958
Cluster_1522,LBGCNHPF_01926,OEIEKCCN_00399,OCILAMFM_frag_00531_00532
Cluster_1523,LBGCNHPF_00841,OEIEKCCN_01781,OCILAMFM_02068
Cluster_1524,LBGCNHPF_02433,OEIEKCCN_02126,OCILAMFM_04261
Cluster_1525,LBGCNHPF_02483,OEIEKCCN_02176,OCILAMFM_00055
Cluster_1526,LBGCNHPF_02495,OEIEKCCN_02188,OCILAMFM_00067
Cluster_1527,,OEIEKCCN_03081,
Cluster_1528,LBGCNHPF_03510,OEIEKCCN_03845,OCILAMFM_04141
Cluster_1529,,,OCILAMFM_00473
Cluster_1530,LBGCNHPF_03780,OEIEKCCN_00160,OCILAMFM_02494
Cluster_1531,LBGCNHPF_04027,OEIEKCCN_00273,OCILAMFM_01730
Cluster_1532,LBGCNHPF_04024,OEIEKCCN_00276,OCILAMFM_01727
Cluster_1533,LBGCNHPF_frag_00611_00612,OEIEKCCN_02009,OCILAMFM_01843
Cluster_1534,LBGCNHPF_02525,OEIEKCCN_02218,OCILAMFM_00097
Cluster_1535,LBGCNHPF_02552,OEIEKCCN_02244,OCILAMFM_00123
Cluster_1536,LBGCNHPF_03152,OEIEKCCN_03449,OCILAMFM_02577
Cluster_1537,,,OCILAMFM_00953
Cluster_1538,,,OCILAMFM_01634
Cluster_1539,LBGCNHPF_03350,OEIEKCCN_00070,
Cluster_1540,LBGCNHPF_01935,OEIEKCCN_00408,OCILAMFM_00541
Cluster_1541,LBGCNHPF_04336,OEIEKCCN_00507,OCILAMFM_01802
Cluster_1542,LBGCNHPF_01414,OEIEKCCN_00630,OCILAMFM_02989
Cluster_1543,LBGCNHPF_01272,OEIEKCCN_00769,OCILAMFM_03177
Cluster_1544,LBGCNHPF_03629,OEIEKCCN_00940,OCILAMFM_03367
Cluster_1545,LBGCNHPF_00759,OEIEKCCN_01863,OCILAMFM_01989
Cluster_1546,LBGCNHPF_02485,OEIEKCCN_02178,OCILAMFM_00057
Cluster_1547,LBGCNHPF_01577,OEIEKCCN_02299,OCILAMFM_00189
Cluster_1548,LBGCNHPF_01771,OEIEKCCN_02438,OCILAMFM_00342
Cluster_1549,LBGCNHPF_02019,OEIEKCCN_02592,OCILAMFM_01119
Cluster_1550,LBGCNHPF_02297,OEIEKCCN_02856,OCILAMFM_00843
Cluster_1551,LBGCNHPF_03292,OEIEKCCN_03006,OCILAMFM_00688
Cluster_1552,LBGCNHPF_03469,OEIEKCCN_03742,OCILAMFM_04100
Cluster_1553,LBGCNHPF_02666,OEIEKCCN_04323,OCILAMFM_01378
Cluster_1554,LBGCNHPF_01098,,
Cluster_1555,LBGCNHPF_02176,,
Cluster_1556,,,OCILAMFM_00053
Cluster_1557,LBGCNHPF_04389,OEIEKCCN_00527,OCILAMFM_01165
Cluster_1558,,OEIEKCCN_01324;OEIEKCCN_03888,OCILAMFM_03726
Cluster_1559,LBGCNHPF_02429,OEIEKCCN_02122,OCILAMFM_04257
Cluster_1560,LBGCNHPF_00094,OEIEKCCN_03543;OEIEKCCN_04100,OCILAMFM_03932
Cluster_1561,,OEIEKCCN_03653,OCILAMFM_04031
Cluster_1562,,,OCILAMFM_03868
Cluster_1563,,,OCILAMFM_04333
Cluster_1564,LBGCNHPF_03186,OEIEKCCN_00484,OCILAMFM_00587
Cluster_1565,LBGCNHPF_02379,OEIEKCCN_02073,OCILAMFM_04202
Cluster_1566,LBGCNHPF_01825,OEIEKCCN_02492,OCILAMFM_00397
Cluster_1567,LBGCNHPF_02295,OEIEKCCN_02854,OCILAMFM_00845
Cluster_1568,LBGCNHPF_01449,OEIEKCCN_00587,OCILAMFM_02953
Cluster_1569,LBGCNHPF_00571,OEIEKCCN_01059,OCILAMFM_03474
Cluster_1570,LBGCNHPF_00763,OEIEKCCN_01859,
Cluster_1571,LBGCNHPF_00131,OEIEKCCN_04064;OEIEKCCN_03507,OCILAMFM_03895
Cluster_1572,LBGCNHPF_03464,OEIEKCCN_03737,OCILAMFM_04095
Cluster_1573,LBGCNHPF_02754,,
Cluster_1574,LBGCNHPF_04221,,
Cluster_1575,,,OCILAMFM_04244
Cluster_1576,LBGCNHPF_01450,OEIEKCCN_00586,OCILAMFM_02952
Cluster_1577,LBGCNHPF_01260,OEIEKCCN_00781,OCILAMFM_03189
Cluster_1578,LBGCNHPF_00285,OEIEKCCN_03894;OEIEKCCN_01330,OCILAMFM_03732
