gene,protein,reaction,model,BiGG_gene
G_3_E_4_1_1_comp3,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp3
G_3_E_4_1_1_comp4,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp4
G_3_E_4_1_1_comp5,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp5
G_3_E_4_1_1_comp6,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp6
G_3_A_1_5_49_comp1,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp1
G_3_A_1_5_49_comp2,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp2
G_3_A_1_5_49_comp3,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp3
G_3_A_1_5_49_comp4,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp4
G_3_D_6_1_5_comp1,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp1
G_3_D_6_1_5_comp2,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp2
G_3_D_6_1_5_comp3,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp3
G_3_D_6_1_5_comp4,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp4
G_3_D_6_1_5_comp5,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp5
G_3_D_6_1_5_comp6,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp6
G_3_E_1_1_13_comp1,P_3_E_1_1_13_comp1,R_3_E_1_1_13,TCDB,TCDB.3_E_1_1_13_comp1
G_1_E_1_1_14_comp1,P_1_E_1_1_14_comp1,R_1_E_1_1_14,TCDB,TCDB.1_E_1_1_14_comp1
G_3_E_1_1_14_comp1,P_3_E_1_1_14_comp1,R_3_E_1_1_14,TCDB,TCDB.3_E_1_1_14_comp1
G_3_E_1_7_10_comp1,P_3_E_1_7_10_comp1,R_3_E_1_7_10,TCDB,TCDB.3_E_1_7_10_comp1
G_9_B_87_1_43_comp1,P_9_B_87_1_43_comp1,R_9_B_87_1_43,TCDB,TCDB.9_B_87_1_43_comp1
G_2_A_135_1_1_comp1,P_2_A_135_1_1_comp1+2_A_135_1_1_comp2,R_2_A_135_1_1,TCDB,TCDB.2_A_135_1_1_comp1
G_2_A_135_1_1_comp2,P_2_A_135_1_1_comp1+2_A_135_1_1_comp2,R_2_A_135_1_1,TCDB,TCDB.2_A_135_1_1_comp2
G_9_B_459_1_1_comp1,P_9_B_459_1_1_comp1,R_9_B_459_1_1,TCDB,TCDB.9_B_459_1_1_comp1
G_9_B_459_1_2_comp1,P_9_B_459_1_2_comp1,R_9_B_459_1_2,TCDB,TCDB.9_B_459_1_2_comp1
G_1_C_52_1_24_comp1,P_1_C_52_1_24_comp1,R_1_C_52_1_24,TCDB,TCDB.1_C_52_1_24_comp1
G_2_A_30_1_7_comp1,P_2_A_30_1_7_comp1,R_2_A_30_1_7,TCDB,TCDB.2_A_30_1_7_comp1
G_1_X_1_1_1_comp1,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp1
G_1_X_1_1_1_comp2,P_1_X_1_1_1_comp1+1_X_1_1_1_comp2+1_X_1_1_1_comp3+1_X_1_1_1_comp4+1_X_1_1_1_comp5+1_X_1_1_1_comp6+1_X_1_1_1_comp7+1_X_1_1_1_comp8+1_X_1_1_1_comp9,R_1_X_1_1_1,TCDB,TCDB.1_X_1_1_1_comp2
