gene,protein,reaction,model,BiGG_gene
G_9_B_124_1_3_comp1,P_9_B_124_1_3_comp1,R_9_B_124_1_3,TCDB,TCDB.9_B_124_1_3_comp1
G_1_B_24_1_3_comp1,P_1_B_24_1_3_comp1,R_1_B_24_1_3,TCDB,TCDB.1_B_24_1_3_comp1
G_9_B_145_1_6_comp1,P_9_B_145_1_6_comp1,R_9_B_145_1_6,TCDB,TCDB.9_B_145_1_6_comp1
G_3_A_1_203_12_comp1,P_3_A_1_203_12_comp1,R_3_A_1_203_12,TCDB,TCDB.3_A_1_203_12_comp1
G_1_B_4_2_2_comp1,P_1_B_4_2_2_comp1,R_1_B_4_2_2,TCDB,TCDB.1_B_4_2_2_comp1
G_1_M_6_1_3_comp1,P_1_M_6_1_3_comp1,R_1_M_6_1_3,TCDB,TCDB.1_M_6_1_3_comp1
G_1_A_64_1_2_comp1,P_1_A_64_1_2_comp1,R_1_A_64_1_2,TCDB,TCDB.1_A_64_1_2_comp1
G_9_A_59_1_3_comp1,P_9_A_59_1_3_comp1,R_9_A_59_1_3,TCDB,TCDB.9_A_59_1_3_comp1
G_1_B_25_1_25_comp1,P_1_B_25_1_25_comp1,R_1_B_25_1_25,TCDB,TCDB.1_B_25_1_25_comp1
G_1_B_25_1_28_comp1,P_1_B_25_1_28_comp1,R_1_B_25_1_28,TCDB,TCDB.1_B_25_1_28_comp1
G_9_B_155_2_7_comp1,P_9_B_155_2_7_comp1,R_9_B_155_2_7,TCDB,TCDB.9_B_155_2_7_comp1
G_2_A_79_1_4_comp1,P_2_A_79_1_4_comp1,R_2_A_79_1_4,TCDB,TCDB.2_A_79_1_4_comp1
G_1_C_28_3_2_comp1,P_1_C_28_3_2_comp1,R_1_C_28_3_2,TCDB,TCDB.1_C_28_3_2_comp1
G_1_B_70_1_4_comp1,P_1_B_70_1_4_comp1,R_1_B_70_1_4,TCDB,TCDB.1_B_70_1_4_comp1
G_1_B_16_2_4_comp1,P_1_B_16_2_4_comp1,R_1_B_16_2_4,TCDB,TCDB.1_B_16_2_4_comp1
G_1_B_1_5_6_comp1,P_1_B_1_5_6_comp1,R_1_B_1_5_6,TCDB,TCDB.1_B_1_5_6_comp1
G_1_B_23_2_2_comp1,P_1_B_23_2_2_comp1,R_1_B_23_2_2,TCDB,TCDB.1_B_23_2_2_comp1
G_1_B_23_2_3_comp1,P_1_B_23_2_3_comp1,R_1_B_23_2_3,TCDB,TCDB.1_B_23_2_3_comp1
G_1_B_23_2_1_comp1,P_1_B_23_2_1_comp1,R_1_B_23_2_1,TCDB,TCDB.1_B_23_2_1_comp1
G_1_E_26_7_3_comp1,P_1_E_26_7_3_comp1,R_1_E_26_7_3,TCDB,TCDB.1_E_26_7_3_comp1
G_1_C_12_2_2_comp1,P_1_C_12_2_2_comp1,R_1_C_12_2_2,TCDB,TCDB.1_C_12_2_2_comp1
G_1_E_6_3_4_comp1,P_1_E_6_3_4_comp1,R_1_E_6_3_4,TCDB,TCDB.1_E_6_3_4_comp1
G_1_C_30_1_4_comp1,P_1_C_30_1_4_comp1,R_1_C_30_1_4,TCDB,TCDB.1_C_30_1_4_comp1
G_2_A_3_14_3_comp1,P_2_A_3_14_3_comp1,R_2_A_3_14_3,TCDB,TCDB.2_A_3_14_3_comp1
G_4_A_6_1_20_comp1,P_4_A_6_1_20_comp1+4_A_6_1_20_comp2+4_A_6_1_20_comp3+4_A_6_1_20_comp4,R_4_A_6_1_20,TCDB,TCDB.4_A_6_1_20_comp1
G_4_A_6_1_20_comp2,P_4_A_6_1_20_comp1+4_A_6_1_20_comp2+4_A_6_1_20_comp3+4_A_6_1_20_comp4,R_4_A_6_1_20,TCDB,TCDB.4_A_6_1_20_comp2
G_4_A_6_1_20_comp3,P_4_A_6_1_20_comp1+4_A_6_1_20_comp2+4_A_6_1_20_comp3+4_A_6_1_20_comp4,R_4_A_6_1_20,TCDB,TCDB.4_A_6_1_20_comp3
G_4_A_6_1_20_comp4,P_4_A_6_1_20_comp1+4_A_6_1_20_comp2+4_A_6_1_20_comp3+4_A_6_1_20_comp4,R_4_A_6_1_20,TCDB,TCDB.4_A_6_1_20_comp4
G_9_B_190_1_2_comp1,P_9_B_190_1_2_comp1,R_9_B_190_1_2,TCDB,TCDB.9_B_190_1_2_comp1
G_1_B_9_4_5_comp1,P_1_B_9_4_5_comp1,R_1_B_9_4_5,TCDB,TCDB.1_B_9_4_5_comp1
G_8_A_7_1_5_comp1,P_8_A_7_1_5_comp1,R_8_A_7_1_5,TCDB,TCDB.8_A_7_1_5_comp1
G_8_A_8_1_5_comp1,P_8_A_8_1_5_comp1,R_8_A_8_1_5,TCDB,TCDB.8_A_8_1_5_comp1
G_9_B_102_1_18_comp1,P_9_B_102_1_18_comp1,R_9_B_102_1_18,TCDB,TCDB.9_B_102_1_18_comp1
G_1_E_19_2_3_comp1,P_1_E_19_2_3_comp1,R_1_E_19_2_3,TCDB,TCDB.1_E_19_2_3_comp1
G_1_C_6_1_3_comp1,P_1_C_6_1_3_comp1,R_1_C_6_1_3,TCDB,TCDB.1_C_6_1_3_comp1
G_1_A_43_2_2_comp1,P_1_A_43_2_2_comp1,R_1_A_43_2_2,TCDB,TCDB.1_A_43_2_2_comp1
G_1_A_101_7_1_comp1,P_1_A_101_7_1_comp1,R_1_A_101_7_1,TCDB,TCDB.1_A_101_7_1_comp1
G_2_A_66_2_18_comp1,P_2_A_66_2_18_comp1,R_2_A_66_2_18,TCDB,TCDB.2_A_66_2_18_comp1
G_2_A_66_2_19_comp1,P_2_A_66_2_19_comp1,R_2_A_66_2_19,TCDB,TCDB.2_A_66_2_19_comp1
G_1_E_56_1_7_comp1,P_1_E_56_1_7_comp1,R_1_E_56_1_7,TCDB,TCDB.1_E_56_1_7_comp1
G_8_B_28_1_5_comp1,P_8_B_28_1_5_comp1,R_8_B_28_1_5,TCDB,TCDB.8_B_28_1_5_comp1
G_9_B_67_6_5_comp1,P_9_B_67_6_5_comp1,R_9_B_67_6_5,TCDB,TCDB.9_B_67_6_5_comp1
G_9_B_142_8_1_comp1,P_9_B_142_8_1_comp1,R_9_B_142_8_1,TCDB,TCDB.9_B_142_8_1_comp1
G_3_A_1_152_5_comp1,P_3_A_1_152_5_comp1,R_3_A_1_152_5,TCDB,TCDB.3_A_1_152_5_comp1
G_1_B_74_1_4_comp1,P_1_B_74_1_4_comp1,R_1_B_74_1_4,TCDB,TCDB.1_B_74_1_4_comp1
G_2_A_106_3_1_comp1,P_2_A_106_3_1_comp1,R_2_A_106_3_1,TCDB,TCDB.2_A_106_3_1_comp1
G_1_B_37_1_2_comp1,P_1_B_37_1_2_comp1,R_1_B_37_1_2,TCDB,TCDB.1_B_37_1_2_comp1
G_1_C_47_3_3_comp1,P_1_C_47_3_3_comp1,R_1_C_47_3_3,TCDB,TCDB.1_C_47_3_3_comp1
G_1_E_56_1_1_comp1,P_1_E_56_1_1_comp1,R_1_E_56_1_1,TCDB,TCDB.1_E_56_1_1_comp1
G_1_G_12_2_1_comp1,P_1_G_12_2_1_comp1,R_1_G_12_2_1,TCDB,TCDB.1_G_12_2_1_comp1
G_2_A_17_4_6_comp1,P_2_A_17_4_6_comp1,R_2_A_17_4_6,TCDB,TCDB.2_A_17_4_6_comp1
G_2_A_1_3_65_comp1,P_2_A_1_3_65_comp1,R_2_A_1_3_65,TCDB,TCDB.2_A_1_3_65_comp1
G_2_A_58_1_6_comp1,P_2_A_58_1_6_comp1,R_2_A_58_1_6,TCDB,TCDB.2_A_58_1_6_comp1
G_1_A_101_6_4_comp1,P_1_A_101_6_4_comp1,R_1_A_101_6_4,TCDB,TCDB.1_A_101_6_4_comp1
G_2_A_55_1_5_comp1,P_2_A_55_1_5_comp1,R_2_A_55_1_5,TCDB,TCDB.2_A_55_1_5_comp1
G_1_A_1_2_14_comp1,P_1_A_1_2_14_comp1,R_1_A_1_2_14,TCDB,TCDB.1_A_1_2_14_comp1
G_1_C_85_2_4_comp1,P_1_C_85_2_4_comp1,R_1_C_85_2_4,TCDB,TCDB.1_C_85_2_4_comp1
G_1_A_77_5_1_comp1,P_1_A_77_5_1_comp1,R_1_A_77_5_1,TCDB,TCDB.1_A_77_5_1_comp1
G_9_B_142_11_6_comp1,P_9_B_142_11_6_comp1,R_9_B_142_11_6,TCDB,TCDB.9_B_142_11_6_comp1
G_1_B_59_1_5_comp1,P_1_B_59_1_5_comp1,R_1_B_59_1_5,TCDB,TCDB.1_B_59_1_5_comp1
G_9_B_139_3_1_comp1,P_9_B_139_3_1_comp1,R_9_B_139_3_1,TCDB,TCDB.9_B_139_3_1_comp1
G_3_A_1_122_11_comp1,P_3_A_1_122_11_comp1+3_A_1_122_11_comp2,R_3_A_1_122_11,TCDB,TCDB.3_A_1_122_11_comp1
G_3_A_1_122_11_comp2,P_3_A_1_122_11_comp1+3_A_1_122_11_comp2,R_3_A_1_122_11,TCDB,TCDB.3_A_1_122_11_comp2
G_1_E_19_1_6_comp1,P_1_E_19_1_6_comp1,R_1_E_19_1_6,TCDB,TCDB.1_E_19_1_6_comp1
G_1_C_113_1_6_comp1,P_1_C_113_1_6_comp1,R_1_C_113_1_6,TCDB,TCDB.1_C_113_1_6_comp1
G_1_B_26_2_2_comp1,P_1_B_26_2_2_comp1,R_1_B_26_2_2,TCDB,TCDB.1_B_26_2_2_comp1
G_1_E_26_1_5_comp1,P_1_E_26_1_5_comp1,R_1_E_26_1_5,TCDB,TCDB.1_E_26_1_5_comp1
G_1_B_48_2_3_comp1,P_1_B_48_2_3_comp1,R_1_B_48_2_3,TCDB,TCDB.1_B_48_2_3_comp1
G_2_A_103_1_6_comp1,P_2_A_103_1_6_comp1,R_2_A_103_1_6,TCDB,TCDB.2_A_103_1_6_comp1
G_9_B_67_8_3_comp1,P_9_B_67_8_3_comp1,R_9_B_67_8_3,TCDB,TCDB.9_B_67_8_3_comp1
G_3_A_1_19_3_comp1,P_3_A_1_19_3_comp1+3_A_1_19_3_comp2+3_A_1_19_3_comp3,R_3_A_1_19_3,TCDB,TCDB.3_A_1_19_3_comp1
G_3_A_1_19_3_comp2,P_3_A_1_19_3_comp1+3_A_1_19_3_comp2+3_A_1_19_3_comp3,R_3_A_1_19_3,TCDB,TCDB.3_A_1_19_3_comp2
G_3_A_1_19_3_comp3,P_3_A_1_19_3_comp1+3_A_1_19_3_comp2+3_A_1_19_3_comp3,R_3_A_1_19_3,TCDB,TCDB.3_A_1_19_3_comp3
G_2_A_116_1_3_comp1,P_2_A_116_1_3_comp1,R_2_A_116_1_3,TCDB,TCDB.2_A_116_1_3_comp1
G_8_A_96_1_3_comp1,P_8_A_96_1_3_comp1,R_8_A_96_1_3,TCDB,TCDB.8_A_96_1_3_comp1
G_2_A_30_1_21_comp1,P_2_A_30_1_21_comp1,R_2_A_30_1_21,TCDB,TCDB.2_A_30_1_21_comp1
G_8_A_27_1_8_comp1,P_8_A_27_1_8_comp1,R_8_A_27_1_8,TCDB,TCDB.8_A_27_1_8_comp1
G_1_A_84_1_9_comp1,P_1_A_84_1_9_comp1,R_1_A_84_1_9,TCDB,TCDB.1_A_84_1_9_comp1
G_1_C_108_2_1_comp1,P_1_C_108_2_1_comp1,R_1_C_108_2_1,TCDB,TCDB.1_C_108_2_1_comp1
G_8_A_87_1_3_comp1,P_8_A_87_1_3_comp1,R_8_A_87_1_3,TCDB,TCDB.8_A_87_1_3_comp1
G_8_A_64_1_2_comp1,P_8_A_64_1_2_comp1,R_8_A_64_1_2,TCDB,TCDB.8_A_64_1_2_comp1
G_9_B_41_1_4_comp1,P_9_B_41_1_4_comp1,R_9_B_41_1_4,TCDB,TCDB.9_B_41_1_4_comp1
G_1_A_4_2_14_comp1,P_1_A_4_2_14_comp1,R_1_A_4_2_14,TCDB,TCDB.1_A_4_2_14_comp1
G_1_A_78_1_2_comp1,P_1_A_78_1_2_comp1,R_1_A_78_1_2,TCDB,TCDB.1_A_78_1_2_comp1
G_8_A_96_1_7_comp1,P_8_A_96_1_7_comp1,R_8_A_96_1_7,TCDB,TCDB.8_A_96_1_7_comp1
G_1_C_39_2_4_comp1,P_1_C_39_2_4_comp1,R_1_C_39_2_4,TCDB,TCDB.1_C_39_2_4_comp1
G_9_A_14_17_3_comp1,P_9_A_14_17_3_comp1,R_9_A_14_17_3,TCDB,TCDB.9_A_14_17_3_comp1
G_1_A_64_2_3_comp1,P_1_A_64_2_3_comp1,R_1_A_64_2_3,TCDB,TCDB.1_A_64_2_3_comp1
G_1_A_114_1_6_comp1,P_1_A_114_1_6_comp1,R_1_A_114_1_6,TCDB,TCDB.1_A_114_1_6_comp1
G_1_A_74_3_1_comp1,P_1_A_74_3_1_comp1,R_1_A_74_3_1,TCDB,TCDB.1_A_74_3_1_comp1
G_1_A_7_1_7_comp1,P_1_A_7_1_7_comp1,R_1_A_7_1_7,TCDB,TCDB.1_A_7_1_7_comp1
G_2_A_123_1_22_comp1,P_2_A_123_1_22_comp1,R_2_A_123_1_22,TCDB,TCDB.2_A_123_1_22_comp1
G_8_A_45_1_4_comp1,P_8_A_45_1_4_comp1,R_8_A_45_1_4,TCDB,TCDB.8_A_45_1_4_comp1
G_2_A_90_2_1_comp1,P_2_A_90_2_1_comp1,R_2_A_90_2_1,TCDB,TCDB.2_A_90_2_1_comp1
G_2_A_9_3_7_comp1,P_2_A_9_3_7_comp1,R_2_A_9_3_7,TCDB,TCDB.2_A_9_3_7_comp1
G_1_E_53_1_6_comp1,P_1_E_53_1_6_comp1,R_1_E_53_1_6,TCDB,TCDB.1_E_53_1_6_comp1
G_1_E_2_1_6_comp1,P_1_E_2_1_6_comp1,R_1_E_2_1_6,TCDB,TCDB.1_E_2_1_6_comp1
G_9_B_124_1_8_comp1,P_9_B_124_1_8_comp1,R_9_B_124_1_8,TCDB,TCDB.9_B_124_1_8_comp1
G_1_C_103_1_2_comp1,P_1_C_103_1_2_comp1,R_1_C_103_1_2,TCDB,TCDB.1_C_103_1_2_comp1
G_9_B_141_1_2_comp1,P_9_B_141_1_2_comp1,R_9_B_141_1_2,TCDB,TCDB.9_B_141_1_2_comp1
G_1_E_5_1_4_comp1,P_1_E_5_1_4_comp1,R_1_E_5_1_4,TCDB,TCDB.1_E_5_1_4_comp1
G_1_C_120_1_2_comp1,P_1_C_120_1_2_comp1,R_1_C_120_1_2,TCDB,TCDB.1_C_120_1_2_comp1
G_2_A_49_7_1_comp1,P_2_A_49_7_1_comp1,R_2_A_49_7_1,TCDB,TCDB.2_A_49_7_1_comp1
G_1_B_58_1_2_comp1,P_1_B_58_1_2_comp1,R_1_B_58_1_2,TCDB,TCDB.1_B_58_1_2_comp1
G_2_A_104_2_1_comp1,P_2_A_104_2_1_comp1,R_2_A_104_2_1,TCDB,TCDB.2_A_104_2_1_comp1
G_1_E_34_1_3_comp1,P_1_E_34_1_3_comp1,R_1_E_34_1_3,TCDB,TCDB.1_E_34_1_3_comp1
G_2_A_79_1_8_comp1,P_2_A_79_1_8_comp1,R_2_A_79_1_8,TCDB,TCDB.2_A_79_1_8_comp1
G_2_A_7_41_2_comp1,P_2_A_7_41_2_comp1,R_2_A_7_41_2,TCDB,TCDB.2_A_7_41_2_comp1
G_1_B_13_1_3_comp1,P_1_B_13_1_3_comp1,R_1_B_13_1_3,TCDB,TCDB.1_B_13_1_3_comp1
G_9_B_54_1_3_comp1,P_9_B_54_1_3_comp1,R_9_B_54_1_3,TCDB,TCDB.9_B_54_1_3_comp1
G_2_A_1_21_21_comp1,P_2_A_1_21_21_comp1,R_2_A_1_21_21,TCDB,TCDB.2_A_1_21_21_comp1
G_1_E_28_2_1_comp1,P_1_E_28_2_1_comp1,R_1_E_28_2_1,TCDB,TCDB.1_E_28_2_1_comp1
G_1_A_77_5_4_comp1,P_1_A_77_5_4_comp1,R_1_A_77_5_4,TCDB,TCDB.1_A_77_5_4_comp1
G_9_B_148_3_2_comp1,P_9_B_148_3_2_comp1,R_9_B_148_3_2,TCDB,TCDB.9_B_148_3_2_comp1
G_1_A_8_6_4_comp1,P_1_A_8_6_4_comp1,R_1_A_8_6_4,TCDB,TCDB.1_A_8_6_4_comp1
G_1_B_6_1_15_comp1,P_1_B_6_1_15_comp1,R_1_B_6_1_15,TCDB,TCDB.1_B_6_1_15_comp1
G_1_B_75_2_1_comp1,P_1_B_75_2_1_comp1,R_1_B_75_2_1,TCDB,TCDB.1_B_75_2_1_comp1
G_9_B_172_1_4_comp1,P_9_B_172_1_4_comp1,R_9_B_172_1_4,TCDB,TCDB.9_B_172_1_4_comp1
G_1_B_14_6_12_comp1,P_1_B_14_6_12_comp1,R_1_B_14_6_12,TCDB,TCDB.1_B_14_6_12_comp1
G_2_A_1_2_90_comp1,P_2_A_1_2_90_comp1,R_2_A_1_2_90,TCDB,TCDB.2_A_1_2_90_comp1
G_1_E_43_1_8_comp1,P_1_E_43_1_8_comp1,R_1_E_43_1_8,TCDB,TCDB.1_E_43_1_8_comp1
G_9_B_169_1_6_comp1,P_9_B_169_1_6_comp1,R_9_B_169_1_6,TCDB,TCDB.9_B_169_1_6_comp1
G_3_A_1_122_34_comp1,P_3_A_1_122_34_comp1+3_A_1_122_34_comp2+3_A_1_122_34_comp3+3_A_1_122_34_comp4,R_3_A_1_122_34,TCDB,TCDB.3_A_1_122_34_comp1
G_3_A_1_122_34_comp2,P_3_A_1_122_34_comp1+3_A_1_122_34_comp2+3_A_1_122_34_comp3+3_A_1_122_34_comp4,R_3_A_1_122_34,TCDB,TCDB.3_A_1_122_34_comp2
G_3_A_1_122_34_comp3,P_3_A_1_122_34_comp1+3_A_1_122_34_comp2+3_A_1_122_34_comp3+3_A_1_122_34_comp4,R_3_A_1_122_34,TCDB,TCDB.3_A_1_122_34_comp3
G_3_A_1_122_34_comp4,P_3_A_1_122_34_comp1+3_A_1_122_34_comp2+3_A_1_122_34_comp3+3_A_1_122_34_comp4,R_3_A_1_122_34,TCDB,TCDB.3_A_1_122_34_comp4
G_9_B_102_1_17_comp1,P_9_B_102_1_17_comp1,R_9_B_102_1_17,TCDB,TCDB.9_B_102_1_17_comp1
G_9_B_117_2_1_comp1,P_9_B_117_2_1_comp1,R_9_B_117_2_1,TCDB,TCDB.9_B_117_2_1_comp1
G_1_E_34_1_1_comp1,P_1_E_34_1_1_comp1,R_1_E_34_1_1,TCDB,TCDB.1_E_34_1_1_comp1
G_9_B_217_2_9_comp1,P_9_B_217_2_9_comp1,R_9_B_217_2_9,TCDB,TCDB.9_B_217_2_9_comp1
G_2_A_7_3_48_comp1,P_2_A_7_3_48_comp1,R_2_A_7_3_48,TCDB,TCDB.2_A_7_3_48_comp1
G_1_E_54_1_2_comp1,P_1_E_54_1_2_comp1,R_1_E_54_1_2,TCDB,TCDB.1_E_54_1_2_comp1
G_1_E_54_1_5_comp1,P_1_E_54_1_5_comp1,R_1_E_54_1_5,TCDB,TCDB.1_E_54_1_5_comp1
G_1_G_15_1_3_comp1,P_1_G_15_1_3_comp1,R_1_G_15_1_3,TCDB,TCDB.1_G_15_1_3_comp1
G_1_E_3_1_3_comp1,P_1_E_3_1_3_comp1,R_1_E_3_1_3,TCDB,TCDB.1_E_3_1_3_comp1
G_1_A_72_3_5_comp1,P_1_A_72_3_5_comp1+1_A_72_3_5_comp2,R_1_A_72_3_5,TCDB,TCDB.1_A_72_3_5_comp1
G_1_A_72_3_5_comp2,P_1_A_72_3_5_comp1+1_A_72_3_5_comp2,R_1_A_72_3_5,TCDB,TCDB.1_A_72_3_5_comp2
G_3_A_1_205_17_comp1,P_3_A_1_205_17_comp1,R_3_A_1_205_17,TCDB,TCDB.3_A_1_205_17_comp1
G_1_M_13_1_6_comp1,P_1_M_13_1_6_comp1,R_1_M_13_1_6,TCDB,TCDB.1_M_13_1_6_comp1
G_2_A_8_1_15_comp1,P_2_A_8_1_15_comp1,R_2_A_8_1_15,TCDB,TCDB.2_A_8_1_15_comp1
G_1_E_40_4_3_comp1,P_1_E_40_4_3_comp1,R_1_E_40_4_3,TCDB,TCDB.1_E_40_4_3_comp1
G_1_B_56_2_1_comp1,P_1_B_56_2_1_comp1,R_1_B_56_2_1,TCDB,TCDB.1_B_56_2_1_comp1
G_1_B_56_1_4_comp1,P_1_B_56_1_4_comp1,R_1_B_56_1_4,TCDB,TCDB.1_B_56_1_4_comp1
G_2_A_7_30_2_comp1,P_2_A_7_30_2_comp1,R_2_A_7_30_2,TCDB,TCDB.2_A_7_30_2_comp1
G_1_E_26_11_2_comp1,P_1_E_26_11_2_comp1,R_1_E_26_11_2,TCDB,TCDB.1_E_26_11_2_comp1
G_1_B_14_9_4_comp1,P_1_B_14_9_4_comp1,R_1_B_14_9_4,TCDB,TCDB.1_B_14_9_4_comp1
G_9_B_18_1_2_comp1,P_9_B_18_1_2_comp1,R_9_B_18_1_2,TCDB,TCDB.9_B_18_1_2_comp1
G_1_B_19_1_9_comp1,P_1_B_19_1_9_comp1,R_1_B_19_1_9,TCDB,TCDB.1_B_19_1_9_comp1
G_2_A_49_7_2_comp1,P_2_A_49_7_2_comp1,R_2_A_49_7_2,TCDB,TCDB.2_A_49_7_2_comp1
G_3_A_1_132_8_comp1,P_3_A_1_132_8_comp1+3_A_1_132_8_comp2,R_3_A_1_132_8,TCDB,TCDB.3_A_1_132_8_comp1
G_3_A_1_132_8_comp2,P_3_A_1_132_8_comp1+3_A_1_132_8_comp2,R_3_A_1_132_8,TCDB,TCDB.3_A_1_132_8_comp2
G_3_A_1_147_9_comp1,P_3_A_1_147_9_comp1+3_A_1_147_9_comp2,R_3_A_1_147_9,TCDB,TCDB.3_A_1_147_9_comp1
G_3_A_1_147_9_comp2,P_3_A_1_147_9_comp1+3_A_1_147_9_comp2,R_3_A_1_147_9,TCDB,TCDB.3_A_1_147_9_comp2
G_2_A_123_2_12_comp1,P_2_A_123_2_12_comp1,R_2_A_123_2_12,TCDB,TCDB.2_A_123_2_12_comp1
G_1_B_10_3_2_comp1,P_1_B_10_3_2_comp1,R_1_B_10_3_2,TCDB,TCDB.1_B_10_3_2_comp1
G_1_B_6_6_3_comp1,P_1_B_6_6_3_comp1,R_1_B_6_6_3,TCDB,TCDB.1_B_6_6_3_comp1
G_9_B_142_2_6_comp1,P_9_B_142_2_6_comp1,R_9_B_142_2_6,TCDB,TCDB.9_B_142_2_6_comp1
G_2_A_123_4_2_comp1,P_2_A_123_4_2_comp1,R_2_A_123_4_2,TCDB,TCDB.2_A_123_4_2_comp1
G_9_B_155_2_12_comp1,P_9_B_155_2_12_comp1,R_9_B_155_2_12,TCDB,TCDB.9_B_155_2_12_comp1
G_2_A_46_1_8_comp1,P_2_A_46_1_8_comp1,R_2_A_46_1_8,TCDB,TCDB.2_A_46_1_8_comp1
G_1_A_1_27_4_comp1,P_1_A_1_27_4_comp1,R_1_A_1_27_4,TCDB,TCDB.1_A_1_27_4_comp1
G_9_B_139_1_4_comp1,P_9_B_139_1_4_comp1,R_9_B_139_1_4,TCDB,TCDB.9_B_139_1_4_comp1
G_1_E_23_1_3_comp1,P_1_E_23_1_3_comp1,R_1_E_23_1_3,TCDB,TCDB.1_E_23_1_3_comp1
G_1_B_16_2_1_comp1,P_1_B_16_2_1_comp1,R_1_B_16_2_1,TCDB,TCDB.1_B_16_2_1_comp1
G_1_G_5_1_3_comp1,P_1_G_5_1_3_comp1,R_1_G_5_1_3,TCDB,TCDB.1_G_5_1_3_comp1
G_1_C_1_1_5_comp1,P_1_C_1_1_5_comp1,R_1_C_1_1_5,TCDB,TCDB.1_C_1_1_5_comp1
G_9_A_61_4_1_comp1,P_9_A_61_4_1_comp1,R_9_A_61_4_1,TCDB,TCDB.9_A_61_4_1_comp1
G_1_A_65_1_9_comp1,P_1_A_65_1_9_comp1,R_1_A_65_1_9,TCDB,TCDB.1_A_65_1_9_comp1
G_2_A_1_73_3_comp1,P_2_A_1_73_3_comp1,R_2_A_1_73_3,TCDB,TCDB.2_A_1_73_3_comp1
G_1_A_8_8_22_comp1,P_1_A_8_8_22_comp1,R_1_A_8_8_22,TCDB,TCDB.1_A_8_8_22_comp1
G_2_A_1_1_86_comp1,P_2_A_1_1_86_comp1,R_2_A_1_1_86,TCDB,TCDB.2_A_1_1_86_comp1
G_1_A_117_1_3_comp1,P_1_A_117_1_3_comp1,R_1_A_117_1_3,TCDB,TCDB.1_A_117_1_3_comp1
G_3_A_1_204_23_comp1,P_3_A_1_204_23_comp1,R_3_A_1_204_23,TCDB,TCDB.3_A_1_204_23_comp1
G_1_B_6_1_23_comp1,P_1_B_6_1_23_comp1,R_1_B_6_1_23,TCDB,TCDB.1_B_6_1_23_comp1
G_1_A_25_1_10_comp1,P_1_A_25_1_10_comp1,R_1_A_25_1_10,TCDB,TCDB.1_A_25_1_10_comp1
G_1_A_25_1_9_comp1,P_1_A_25_1_9_comp1,R_1_A_25_1_9,TCDB,TCDB.1_A_25_1_9_comp1
G_3_A_3_2_33_comp1,P_3_A_3_2_33_comp1,R_3_A_3_2_33,TCDB,TCDB.3_A_3_2_33_comp1
G_1_M_1_4_34_comp1,P_1_M_1_4_34_comp1,R_1_M_1_4_34,TCDB,TCDB.1_M_1_4_34_comp1
G_1_A_89_1_2_comp1,P_1_A_89_1_2_comp1,R_1_A_89_1_2,TCDB,TCDB.1_A_89_1_2_comp1
G_9_B_41_2_2_comp1,P_9_B_41_2_2_comp1,R_9_B_41_2_2,TCDB,TCDB.9_B_41_2_2_comp1
G_2_A_30_1_10_comp1,P_2_A_30_1_10_comp1,R_2_A_30_1_10,TCDB,TCDB.2_A_30_1_10_comp1
G_8_A_52_1_2_comp1,P_8_A_52_1_2_comp1,R_8_A_52_1_2,TCDB,TCDB.8_A_52_1_2_comp1
G_8_A_62_1_2_comp1,P_8_A_62_1_2_comp1,R_8_A_62_1_2,TCDB,TCDB.8_A_62_1_2_comp1
G_1_A_101_1_6_comp1,P_1_A_101_1_6_comp1,R_1_A_101_1_6,TCDB,TCDB.1_A_101_1_6_comp1
G_1_A_92_1_1_comp1,P_1_A_92_1_1_comp1,R_1_A_92_1_1,TCDB,TCDB.1_A_92_1_1_comp1
G_9_B_67_3_6_comp1,P_9_B_67_3_6_comp1,R_9_B_67_3_6,TCDB,TCDB.9_B_67_3_6_comp1
G_1_A_77_3_16_comp1,P_1_A_77_3_16_comp1,R_1_A_77_3_16,TCDB,TCDB.1_A_77_3_16_comp1
G_9_B_50_1_6_comp1,P_9_B_50_1_6_comp1,R_9_B_50_1_6,TCDB,TCDB.9_B_50_1_6_comp1
G_1_B_11_6_3_comp1,P_1_B_11_6_3_comp1,R_1_B_11_6_3,TCDB,TCDB.1_B_11_6_3_comp1
G_1_B_56_1_3_comp1,P_1_B_56_1_3_comp1,R_1_B_56_1_3,TCDB,TCDB.1_B_56_1_3_comp1
G_1_B_6_10_4_comp1,P_1_B_6_10_4_comp1,R_1_B_6_10_4,TCDB,TCDB.1_B_6_10_4_comp1
G_3_A_1_139_3_comp1,P_3_A_1_139_3_comp1+3_A_1_139_3_comp2,R_3_A_1_139_3,TCDB,TCDB.3_A_1_139_3_comp1
G_3_A_1_139_3_comp2,P_3_A_1_139_3_comp1+3_A_1_139_3_comp2,R_3_A_1_139_3,TCDB,TCDB.3_A_1_139_3_comp2
G_3_E_1_6_9_comp1,P_3_E_1_6_9_comp1,R_3_E_1_6_9,TCDB,TCDB.3_E_1_6_9_comp1
G_2_A_52_2_3_comp1,P_2_A_52_2_3_comp1,R_2_A_52_2_3,TCDB,TCDB.2_A_52_2_3_comp1
G_2_A_124_1_6_comp1,P_2_A_124_1_6_comp1,R_2_A_124_1_6,TCDB,TCDB.2_A_124_1_6_comp1
G_9_B_405_2_1_comp1,P_9_B_405_2_1_comp1,R_9_B_405_2_1,TCDB,TCDB.9_B_405_2_1_comp1
